id,set,category,best,second,mean15,cut,ok,kw_rank
q001,golden_set_50.jsonl,direct_fact,3.62532639503479,2.8057708740234375,0.20903245011965435,False,True,1
q002,golden_set_50.jsonl,enumeration,9.270694732666016,9.108399391174316,0.6312501947085063,False,True,1
q003,golden_set_50.jsonl,direct_fact,2.06204891204834,1.5879634618759155,-6.257305073738098,False,True,1
q004,golden_set_50.jsonl,reasoning,6.137463569641113,5.523983955383301,2.3762079874674478,False,True,1
q005,golden_set_50.jsonl,direct_fact,4.806209564208984,4.259862422943115,-4.21863366762797,False,True,1
q006,golden_set_50.jsonl,enumeration,4.633072853088379,3.741284132003784,1.6960113840798536,False,True,3
q007,golden_set_50.jsonl,direct_fact,2.1410040855407715,2.1286416053771973,-1.3487874870498975,False,True,1
q008,golden_set_50.jsonl,enumeration,5.437555313110352,4.937643051147461,3.001472735404968,False,True,2
q009,golden_set_50.jsonl,reasoning,5.06092643737793,4.438094139099121,1.4900230824947358,False,True,1
q010,golden_set_50.jsonl,direct_fact,5.703508377075195,4.489770412445068,0.30771842002868655,False,True,1
q011,golden_set_50.jsonl,enumeration,5.42570161819458,4.612139701843262,1.837897891799609,False,True,2
q012,golden_set_50.jsonl,direct_fact,4.608530521392822,4.593010425567627,0.7665006657441457,False,True,1
q013,golden_set_50.jsonl,enumeration,6.718211650848389,6.6001811027526855,2.752192465464274,False,True,1
q014,golden_set_50.jsonl,reasoning,0.6780500411987305,0.19399110972881317,-7.470955408612887,False,True,1
q015,golden_set_50.jsonl,direct_fact,6.777395248413086,6.280175685882568,1.9615267058213552,False,True,1
q016,golden_set_50.jsonl,reasoning,6.873054504394531,6.352474689483643,4.913682619730632,False,True,2
q017,golden_set_50.jsonl,direct_fact,5.9995622634887695,2.5434582233428955,-7.725519545873007,False,True,1
q018,golden_set_50.jsonl,reasoning,8.10957145690918,8.050177574157715,5.520925410588583,False,True,1
q019,golden_set_50.jsonl,out_of_corpus,-4.441519260406494,-6.791592121124268,-9.190191968282063,True,True,
q020,golden_set_50.jsonl,out_of_corpus,-5.4598565101623535,-6.177214622497559,-9.646951643625895,True,True,
q021,golden_set_50.jsonl,enumeration,5.633781909942627,5.627408504486084,2.7083269635836285,False,True,1
q022,golden_set_50.jsonl,enumeration,7.095034122467041,6.451679229736328,0.2769496818383535,False,True,1
q023,golden_set_50.jsonl,enumeration,6.304117202758789,0.768625020980835,-5.624821408589681,False,True,1
q024,golden_set_50.jsonl,enumeration,5.446718215942383,3.843350887298584,-2.4345020691553754,False,True,1
q025,golden_set_50.jsonl,direct_fact,0.35489529371261597,-7.036149501800537,-9.203265051047007,False,True,1
q026,golden_set_50.jsonl,reasoning,7.694472789764404,4.1262898445129395,1.9217641711235047,False,True,1
q027,golden_set_50.jsonl,enumeration,-2.078186273574829,-3.02301287651062,-6.8313400904337565,False,True,3
q028,golden_set_50.jsonl,direct_fact,0.3810821771621704,0.35414713621139526,-1.3233298862973848,False,True,10
q029,golden_set_50.jsonl,reasoning,4.133574485778809,2.045053005218506,-1.19234699010849,False,True,5
q030,golden_set_50.jsonl,reasoning,4.913325309753418,-1.526374101638794,-8.286375125249227,False,True,1
q031,golden_set_50.jsonl,direct_fact,6.095283508300781,3.211437702178955,-2.9263912518819173,False,True,1
q032,golden_set_50.jsonl,enumeration,3.016317129135132,2.908909797668457,-3.9086820483207703,False,True,3
q033,golden_set_50.jsonl,direct_fact,6.963826656341553,2.274290084838867,-5.34694325129191,False,True,1
q034,golden_set_50.jsonl,enumeration,4.53547477722168,0.37556856870651245,-3.222697887569666,False,True,1
q035,golden_set_50.jsonl,reasoning,6.9614105224609375,5.65248966217041,1.9207416951656342,False,True,1
q036,golden_set_50.jsonl,direct_fact,4.930408954620361,0.7396345138549805,-7.172819995880127,False,True,1
q037,golden_set_50.jsonl,direct_fact,8.880435943603516,5.822718620300293,4.283949629465739,False,True,1
q038,golden_set_50.jsonl,reasoning,6.87338924407959,1.6579384803771973,-1.5557866500069697,False,True,1
q039,golden_set_50.jsonl,reasoning,2.811406373977661,0.3664582669734955,-6.169564332564672,False,True,1
q040,golden_set_50.jsonl,enumeration,4.143370151519775,1.9895589351654053,-3.8650213877360025,False,True,1
q041,golden_set_50.jsonl,enumeration,6.084099769592285,4.629508018493652,2.2771472374598187,False,True,2
q042,golden_set_50.jsonl,reasoning,7.61417293548584,1.4400007724761963,-3.3453672885894776,False,True,1
q043,golden_set_50.jsonl,direct_fact,5.485403537750244,3.834765911102295,0.10599114994208018,False,True,1
q044,golden_set_50.jsonl,multi_hop,4.094095706939697,2.1832315921783447,-0.4961990252137184,False,True,3
q045,golden_set_50.jsonl,multi_hop,2.1227176189422607,1.6934216022491455,-1.7504306038220723,False,True,4
q046,golden_set_50.jsonl,multi_hop,2.3360743522644043,2.2850875854492188,-3.5947376688321433,False,True,1
q047,golden_set_50.jsonl,multi_hop,1.6783485412597656,0.7431174516677856,-2.5648627589146296,False,True,1
q048,golden_set_50.jsonl,out_of_corpus,-3.119509220123291,-5.209190368652344,-7.678857231140137,False,False,
q049,golden_set_50.jsonl,out_of_corpus,-9.403556823730469,-11.00120735168457,-11.079433695475261,True,True,
q050,golden_set_50.jsonl,out_of_corpus,-5.053423881530762,-6.406407356262207,-8.483881282806397,True,True,
q051,golden_multihop_new.jsonl,multi_hop,1.4045084714889526,-0.43880391120910645,-4.815046207110087,False,True,1
q052,golden_multihop_new.jsonl,multi_hop,1.0918599367141724,0.8682121634483337,-2.0938034678498902,False,True,3
q053,golden_multihop_new.jsonl,multi_hop,2.9003944396972656,2.8499889373779297,-2.067718740304311,False,True,1
q054,golden_multihop_new.jsonl,multi_hop,0.8065298795700073,0.5139562487602234,-2.8822635889053343,False,True,6
q055,golden_multihop_new.jsonl,multi_hop,4.476962089538574,4.44982385635376,2.2024293263753254,False,True,1
q056,golden_multihop_new.jsonl,multi_hop,4.002211570739746,3.9659745693206787,1.190547896673282,False,True,1
q057,golden_multihop_new.jsonl,multi_hop,0.6127129793167114,-0.9661403298377991,-3.7125448107719423,False,True,2
q059,golden_multihop_new.jsonl,multi_hop,1.322350263595581,-5.004932403564453,-8.95452078183492,False,True,1
q060,golden_multihop_new.jsonl,multi_hop,3.3678579330444336,2.589693069458008,0.8938904563585918,False,True,1
q061,golden_multihop_new.jsonl,multi_hop,2.292759418487549,1.1588387489318848,-0.6745535095532735,False,True,5
q062,golden_multihop_new.jsonl,multi_hop,2.2223618030548096,2.16741943359375,-1.5392016688982646,False,True,2
