id,set,category,first_best,attempt,best,coverage,rewrite
q019,golden_set_50.jsonl,out_of_corpus,-4.442,1,-4.466,0.0,Quantum computing performance analysis
q019,golden_set_50.jsonl,out_of_corpus,-4.442,2,-4.466,0.0,Quantum computing performance analysis
q019,golden_set_50.jsonl,out_of_corpus,-4.442,3,-4.466,0.0,Quantum computing performance analysis
q020,golden_set_50.jsonl,out_of_corpus,-5.46,1,,0.0,Bitcoin price
q020,golden_set_50.jsonl,out_of_corpus,-5.46,2,,0.0,Bitcoin price
q020,golden_set_50.jsonl,out_of_corpus,-5.46,3,,0.0,Bitcoin price
q048,golden_set_50.jsonl,out_of_corpus,-3.12,1,-5.705,0.0,GDPR compliance obligations cloud service providers
q048,golden_set_50.jsonl,out_of_corpus,-3.12,2,-5.705,0.0,GDPR compliance obligations cloud service providers
q048,golden_set_50.jsonl,out_of_corpus,-3.12,3,-5.705,0.0,GDPR compliance obligations cloud service providers
q049,golden_set_50.jsonl,out_of_corpus,-9.404,1,,0.0,clinical trial results
q049,golden_set_50.jsonl,out_of_corpus,-9.404,2,,0.0,clinical trial results
q049,golden_set_50.jsonl,out_of_corpus,-9.404,3,,0.0,clinical trial results
q050,golden_set_50.jsonl,out_of_corpus,-5.053,1,-5.291,0.0,GPU tensor core benchmarks
q050,golden_set_50.jsonl,out_of_corpus,-5.053,2,-5.291,0.0,GPU tensor core benchmarks
q050,golden_set_50.jsonl,out_of_corpus,-5.053,3,-5.291,0.0,GPU tensor core benchmarks
h005,golden_hard_paraphrase.jsonl,direct_fact,-3.587,1,0.997,50.0,Distinction between service models
h005,golden_hard_paraphrase.jsonl,direct_fact,-3.587,2,0.997,50.0,Distinction between service models
h005,golden_hard_paraphrase.jsonl,direct_fact,-3.587,3,0.997,50.0,Distinction between service models
h008,golden_hard_paraphrase.jsonl,direct_fact,-6.236,1,-3.164,100.0,Cloud resource pricing variability across regions
h008,golden_hard_paraphrase.jsonl,direct_fact,-6.236,2,-3.164,100.0,Cloud resource pricing variability across regions
h008,golden_hard_paraphrase.jsonl,direct_fact,-6.236,3,-3.164,100.0,Cloud resource pricing variability across regions
h009,golden_hard_paraphrase.jsonl,direct_fact,-5.331,1,-4.447,100.0,Author contributions system paper
h009,golden_hard_paraphrase.jsonl,direct_fact,-5.331,2,-4.447,100.0,Author contributions system paper
h009,golden_hard_paraphrase.jsonl,direct_fact,-5.331,3,-4.447,100.0,Author contributions system paper
h012,golden_hard_paraphrase.jsonl,multi_hop,-5.299,1,-6.061,0.0,Concrete implementation versus abstract description
h012,golden_hard_paraphrase.jsonl,multi_hop,-5.299,2,-6.061,0.0,Concrete implementation versus abstract description
h012,golden_hard_paraphrase.jsonl,multi_hop,-5.299,3,-6.061,0.0,Concrete implementation versus abstract description
h015,golden_hard_paraphrase.jsonl,multi_hop,-4.992,1,0.317,33.3,"Data locality optimization in distributed systems, cloud computing, serverless architectures, data proximity, compute-storage disaggregation, latency, throughput, performance implications"
h015,golden_hard_paraphrase.jsonl,multi_hop,-4.992,2,-0.181,33.3,Data locality optimization distributed systems cloud computing serverless architectures performance implications storage proximity compute nodes
h015,golden_hard_paraphrase.jsonl,multi_hop,-4.992,3,-0.317,33.3,"Data locality optimization in distributed systems, cloud computing, serverless architectures, data proximity, compute-storage disaggregation, performance implications, latency, throughput, cost-benefit analysis"
h016,golden_hard_paraphrase.jsonl,multi_hop,-9.368,1,0.639,33.3,Cloud computing historical failures cautionary tales distributed systems anti-patterns serverless computing pitfalls legacy system warnings
h016,golden_hard_paraphrase.jsonl,multi_hop,-9.368,2,-2.631,0.0,Cloud computing historical failures cautionary tales
h016,golden_hard_paraphrase.jsonl,multi_hop,-9.368,3,0.639,33.3,Cloud computing historical failures cautionary tales distributed systems anti-patterns serverless computing pitfalls legacy system warnings
