model,group,id,category,best,kw_rank
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h001,enumeration,-2.004324197769165,3
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h002,direct_fact,-0.23126554489135742,
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h003,direct_fact,-2.722794532775879,3
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h004,direct_fact,-0.4673524498939514,1
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h005,direct_fact,-3.286621570587158,2
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h006,enumeration,-2.723301649093628,9
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h007,reasoning,-1.164267897605896,1
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h008,direct_fact,-5.175212860107422,
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h009,direct_fact,-2.992046356201172,
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h010,direct_fact,0.0003313906490802765,5
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h011,multi_hop,-1.5470000505447388,3
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h012,multi_hop,-6.179714202880859,
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h013,multi_hop,-3.0940089225769043,1
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h014,multi_hop,-0.27979087829589844,1
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h015,multi_hop,-3.8718411922454834,9
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h016,multi_hop,-9.957977294921875,11
cross-encoder/ms-marco-MiniLM-L-6-v2,normal,q001,direct_fact,2.961709976196289,1
cross-encoder/ms-marco-MiniLM-L-6-v2,normal,q002,enumeration,9.19236946105957,1
cross-encoder/ms-marco-MiniLM-L-6-v2,normal,q003,direct_fact,1.533843755722046,1
cross-encoder/ms-marco-MiniLM-L-6-v2,normal,q004,reasoning,6.207307815551758,1
cross-encoder/ms-marco-MiniLM-L-6-v2,normal,q005,direct_fact,3.8238742351531982,1
cross-encoder/ms-marco-MiniLM-L-6-v2,normal,q006,enumeration,4.413993835449219,3
cross-encoder/ms-marco-MiniLM-L-6-v2,normal,q007,direct_fact,1.0183519124984741,1
cross-encoder/ms-marco-MiniLM-L-6-v2,normal,q008,enumeration,5.325722694396973,2
cross-encoder/ms-marco-MiniLM-L-6-v2,normal,q009,reasoning,4.912439823150635,1
cross-encoder/ms-marco-MiniLM-L-6-v2,normal,q010,direct_fact,5.561311721801758,1
cross-encoder/ms-marco-MiniLM-L-6-v2,ooc,q019,out_of_corpus,-3.98898983001709,
cross-encoder/ms-marco-MiniLM-L-6-v2,ooc,q020,out_of_corpus,-6.547511100769043,
cross-encoder/ms-marco-MiniLM-L-6-v2,ooc,q048,out_of_corpus,-2.685126781463623,
cross-encoder/ms-marco-MiniLM-L-6-v2,ooc,q049,out_of_corpus,-10.665491104125977,
cross-encoder/ms-marco-MiniLM-L-6-v2,ooc,q050,out_of_corpus,-3.27569580078125,
BAAI/bge-reranker-v2-m3,hard,h001,enumeration,0.3078663647174835,2
BAAI/bge-reranker-v2-m3,hard,h002,direct_fact,0.23254168033599854,
BAAI/bge-reranker-v2-m3,hard,h003,direct_fact,0.1665606051683426,1
BAAI/bge-reranker-v2-m3,hard,h004,direct_fact,0.3963615894317627,1
BAAI/bge-reranker-v2-m3,hard,h005,direct_fact,0.08638596534729004,4
BAAI/bge-reranker-v2-m3,hard,h006,enumeration,0.13183750212192535,11
BAAI/bge-reranker-v2-m3,hard,h007,reasoning,0.07092012465000153,1
BAAI/bge-reranker-v2-m3,hard,h008,direct_fact,0.03359154984354973,
BAAI/bge-reranker-v2-m3,hard,h009,direct_fact,0.005073965061455965,
BAAI/bge-reranker-v2-m3,hard,h010,direct_fact,0.44246000051498413,1
BAAI/bge-reranker-v2-m3,hard,h011,multi_hop,0.44838452339172363,1
BAAI/bge-reranker-v2-m3,hard,h012,multi_hop,0.006948669906705618,
BAAI/bge-reranker-v2-m3,hard,h013,multi_hop,0.17087070643901825,2
BAAI/bge-reranker-v2-m3,hard,h014,multi_hop,0.05064471438527107,1
BAAI/bge-reranker-v2-m3,hard,h015,multi_hop,0.018586959689855576,1
BAAI/bge-reranker-v2-m3,hard,h016,multi_hop,0.00011972661013714969,8
BAAI/bge-reranker-v2-m3,normal,q001,direct_fact,0.48648399114608765,1
BAAI/bge-reranker-v2-m3,normal,q002,enumeration,0.999330997467041,1
BAAI/bge-reranker-v2-m3,normal,q003,direct_fact,0.895929753780365,1
BAAI/bge-reranker-v2-m3,normal,q004,reasoning,0.9250648021697998,1
BAAI/bge-reranker-v2-m3,normal,q005,direct_fact,0.9858658313751221,1
BAAI/bge-reranker-v2-m3,normal,q006,enumeration,0.8633809685707092,4
BAAI/bge-reranker-v2-m3,normal,q007,direct_fact,0.8857128024101257,1
BAAI/bge-reranker-v2-m3,normal,q008,enumeration,0.9875444173812866,1
BAAI/bge-reranker-v2-m3,normal,q009,reasoning,0.855046808719635,1
BAAI/bge-reranker-v2-m3,normal,q010,direct_fact,0.8820363283157349,1
BAAI/bge-reranker-v2-m3,ooc,q019,out_of_corpus,0.003307057311758399,
BAAI/bge-reranker-v2-m3,ooc,q020,out_of_corpus,0.0004926003166474402,
BAAI/bge-reranker-v2-m3,ooc,q048,out_of_corpus,0.011493089608848095,
BAAI/bge-reranker-v2-m3,ooc,q049,out_of_corpus,0.025705818086862564,
BAAI/bge-reranker-v2-m3,ooc,q050,out_of_corpus,0.01302963588386774,
