id,set,ooc,version,text,best,passes,coverage,keywords_found,pages
h008,golden_hard_paraphrase.jsonl,False,1,Why does serverless computing end up costing different amounts in different places?,4.6472,True,0.0,,1902.03383v1.pdf:20;1902.03383v1.pdf:10;1706.03178.pdf:14;1706.03178.pdf:17;1902.03383v1.pdf:12;1902.03383v1.pdf:32;1812.03651.pdf:3;1702.04024.pdf:6
h008,golden_hard_paraphrase.jsonl,False,2,Why does cloud computing end up costing different amounts in different places?,1.272,True,100.0,hydroelectric;kilowatt-hours;idaho,EECS-2009-28.pdf:18;EECS-2009-28.pdf:17;EECS-2009-28.pdf:22;EECS-2009-28.pdf:15;1902.03383v1.pdf:20;EECS-2009-28.pdf:21;EECS-2009-28.pdf:8;EECS-2009-28.pdf:6
h009,golden_hard_paraphrase.jsonl,False,1,What do the authors of MapReduce: Simplified Data Processing on Large Clusters themselves say they contributed?,5.5636,True,0.0,,mapreduce-osdi04.pdf:1;EECS-2009-28.pdf:24;mapreduce-osdi04.pdf:12;mapreduce-osdi04.pdf:8;mapreduce-osdi04.pdf:5;mapreduce-osdi04.pdf:11
h009,golden_hard_paraphrase.jsonl,False,2,What do the authors of Serverless Computing: Current Trends and Open Problems themselves say they contributed?,6.2201,True,0.0,,1706.03178.pdf:1;1706.03178.pdf:19;1706.03178.pdf:11;1706.03178.pdf:9;1706.03178.pdf:17;1706.03178.pdf:15;1706.03178.pdf:18;1902.03383v1.pdf:26
h009,golden_hard_paraphrase.jsonl,False,3,"What do the authors of Serverless Computing: One Step Forward, Two Steps Back themselves say they contributed?",6.18,True,0.0,,1812.03651.pdf:1;1812.03651.pdf:3;1812.03651.pdf:7;1812.03651.pdf:5;1902.03383v1.pdf:26;1812.03651.pdf:2;1706.03178.pdf:1;1902.03383v1.pdf:22
h012,golden_hard_paraphrase.jsonl,False,1,Τι προσθέτει το mapreduce-osdi04.pdf σε σχέση με τη γενική περιγραφή που δίνει το EECS-2009-28.pdf;,3.9344,True,0.0,,mapreduce-osdi04.pdf:11;EECS-2009-28.pdf:24;mapreduce-osdi04.pdf:12;mapreduce-osdi04.pdf:10;mapreduce-osdi04.pdf:8;1702.04024.pdf:7;mapreduce-osdi04.pdf:7;mapreduce-osdi04.pdf:13
h012,golden_hard_paraphrase.jsonl,False,2,Τι προσθέτει το 1702.04024.pdf σε σχέση με τη γενική περιγραφή που δίνει το EECS-2009-28.pdf;,-2.2191,True,0.0,,1702.04024.pdf:7;EECS-2009-28.pdf:25;1706.03178.pdf:19;1812.03651.pdf:8;1702.04024.pdf:8;excamera-nsdi17.pdf:14;EECS-2009-28.pdf:1;excamera-nsdi17.pdf:13
h012,golden_hard_paraphrase.jsonl,False,3,Τι προσθέτει το 1902.03383v1.pdf σε σχέση με τη γενική περιγραφή που δίνει το EECS-2009-28.pdf;,2.7426,True,0.0,,1902.03383v1.pdf:1;EECS-2009-28.pdf:25;mapreduce-osdi04.pdf:13;1702.04024.pdf:8;excamera-nsdi17.pdf:14;1702.04024.pdf:7;1812.03651.pdf:8;EECS-2009-28.pdf:1
h016,golden_hard_paraphrase.jsonl,False,1,"Why do the authors of ""Serverless Computing: One Step Forward, Two Steps Back"" bring up MapReduce as a warning?",3.9422,True,33.3,reinvigoration,1812.03651.pdf:3;1812.03651.pdf:1;1812.03651.pdf:7;1812.03651.pdf:2;1812.03651.pdf:5;1902.03383v1.pdf:26;1902.03383v1.pdf:3;1902.03383v1.pdf:10
c010,golden_conversations.jsonl,True,1,"What is the price of Bitcoin in ""Occupy the Cloud: Distributed Computing for the 99% Eric Jonas, Qifan Pu, Shivaram Venkataraman, Ion Stoica, Benjamin Recht Univer""?",2.1686,True,0.0,,1702.04024.pdf:1;1902.03383v1.pdf:24;1812.03651.pdf:8;excamera-nsdi17.pdf:14;EECS-2009-28.pdf:3;EECS-2009-28.pdf:12;EECS-2009-28.pdf:21;1902.03383v1.pdf:26
