id,arm,fmt,lang,category,chars,prompt_tokens,completion_tokens,generation_s,sentences,n_cites,n_bad_format,n_fabricated,n_fab_page,n_placeholder,cited_pages,pages_sent,ground_n,ground_skipped,ground_cited,ground_floor,refused,answer
q001,base,bare,en,direct_fact,843,10155,164,4.12,6,0,0,0,0,0,0,8,0,0,nan,nan,0,"Cloud Computing is defined as encompassing both the applications delivered as services over the Internet and the hardware and systems software within datacenters that provide these services. The applications delivered as services are referred to as Software as a Service (SaaS), while the datacenter hardware and software constitute what the paper calls a Cloud.

Further distinctions are made based on availability and payment models:
*   A **Public Cloud** is a Cloud made available to the general public in a pay-as-you-go manner, with the service being sold termed **Utility Computing**.
*   A **Private Cloud** refers to internal datacenters of a business or organization that are not accessible to the general public.

Therefore, Cloud Computing is the sum of SaaS and Utility Computing, but it does not typically include Private Clouds."
q001,cite,bare,en,direct_fact,803,10256,181,4.05,6,12,0,0,0,0,2,8,12,0,0.8299663299663299,0.5065295815295815,0,"Cloud Computing refers to both the applications delivered as services over the Internet and the hardware and systems software in the datacenters that provide those services [S1, S3]. The applications delivered as services over the Internet have long been known as Software as a Service (SaaS) [S1, S3]. The datacenter hardware and software is termed a Cloud [S1, S3]. When a Cloud is offered to the general public in a pay-as-you-go model, it is called a Public Cloud, and the service sold is Utility Computing [S1, S3]. Conversely, internal datacenters of a business or organization not accessible to the general public are referred to as Private Clouds [S1, S3]. Therefore, Cloud Computing is defined as the sum of SaaS and Utility Computing, but it does not typically include Private Clouds [S1, S3]."
q012,base,bare,gr,direct_fact,778,10623,228,4.11,4,0,0,0,0,0,0,8,0,0,nan,nan,0,"Το utility computing είναι η υπηρεσία που πωλείται όταν ένα Cloud διατίθεται στο ευρύ κοινό με τρόπο pay-as-you-go. Αποτελεί μέρος του Cloud Computing, το οποίο ορίζεται ως το άθροισμα του Software as a Service (SaaS) και του Utility Computing, αλλά δεν περιλαμβάνει συνήθως τα Private Clouds.

Αυτή η προσέγγιση είναι προτιμότερη σε περιπτώσεις όπου η ζήτηση για μια υπηρεσία ποικίλλει με την πάροδο του χρόνου, όταν η ζήτηση είναι άγνωστη εκ των προτέρων, ή όταν οργανισμοί εκτελούν αναλύσεις batch και επιθυμούν να ολοκληρώσουν υπολογισμούς ταχύτερα, καθώς το κόστος παραμένει το ίδιο είτε χρησιμοποιούνται πολλοί servers για λίγο είτε λίγοι servers για πολύ. Παραδείγματα δημόσιου Utility Computing περιλαμβάνουν τα Amazon Web Services, Google AppEngine και Microsoft Azure."
q012,cite,bare,gr,direct_fact,427,10724,120,3.39,3,5,0,0,0,0,2,8,5,0,1.0,0.8321428571428573,0,"Το utility computing είναι η υπηρεσία που πωλείται όταν ένα Cloud διατίθεται στο κοινό με τρόπο pay-as-you-go [S1, S2]. Αποτελεί μέρος του Cloud Computing, το οποίο ορίζεται ως το άθροισμα του Software as a Service (SaaS) και του Utility Computing, αλλά συνήθως δεν περιλαμβάνει τα Private Clouds [S1, S2]. Παραδείγματα δημόσιου utility computing περιλαμβάνουν τα Amazon Web Services, Google AppEngine και Microsoft Azure [S1]."
q002,base,bare,en,enumeration,776,9251,157,3.3,7,0,0,0,0,0,0,8,0,0,nan,nan,0,"From a hardware provisioning perspective, three new aspects characterize Cloud Computing:

1.  **Illusion of Infinite Resources:** Cloud Computing offers the illusion of infinite computing resources available on demand, which removes the necessity for users to plan far in advance for provisioning.
2.  **Elimination of Up-Front Commitment:** Cloud users are no longer required to make an up-front commitment, enabling companies to commence operations on a small scale and expand hardware resources only as their needs grow.
3.  **Pay-for-Use Model:** Users gain the ability to pay for computing resources on a short-term, as-needed basis (e.g., processors by the hour, storage by the day) and release them when no longer required, thereby incentivizing resource conservation."
q002,cite,bare,en,enumeration,701,9352,151,3.16,7,6,0,0,0,0,2,8,6,0,0.7626050420168067,0.48952080832332934,0,"From a hardware provisioning perspective, three new aspects characterize Cloud Computing:
1.  It provides the illusion of infinite computing resources available on demand, which removes the necessity for Cloud Computing users to plan far in advance for provisioning [S1, S2].
2.  It eliminates the need for an up-front commitment from Cloud users, enabling companies to begin small and expand hardware resources only as their needs increase [S1, S2].
3.  It offers the ability to pay for the use of computing resources on a short-term, as-needed basis (e.g., processors by the hour and storage by the day) and release them when no longer required, thereby incentivizing resource conservation [S1, S2]."
q013,base,bare,gr,enumeration,389,8303,116,2.43,21,0,0,0,0,0,0,8,0,0,nan,nan,0,"Σύμφωνα με το παρεχόμενο κείμενο, τα 10 κύρια εμπόδια στην ανάπτυξη του Cloud Computing είναι τα εξής:

1.  Availability of Service
2.  Data Lock-In
3.  Data Confidentiality and Auditability
4.  Data Transfer Bottlenecks
5.  Performance Unpredictability
6.  Scalable Storage
7.  Bugs in Large-Scale Distributed Systems
8.  Scaling Quickly
9.  Reputation Fate Sharing
10. Software Licensing"
q013,cite,bare,gr,enumeration,3011,8404,1036,8.21,25,23,0,0,0,0,3,8,23,0,0.991304347826087,0.5936853002070394,0,"Τα 10 κύρια εμπόδια για την ανάπτυξη του Cloud Computing, όπως αναφέρονται στο paper, είναι τα εξής:

1.  **Availability of Service (Διαθεσιμότητα Υπηρεσίας)**: Οι οργανισμοί ανησυχούν για το αν οι υπηρεσίες Utility Computing θα έχουν επαρκή διαθεσιμότητα, γεγονός που τους καθιστά επιφυλακτικούς απέναντι στο Cloud Computing [S1]. Αυτό περιλαμβάνει την ανάγκη για υψηλή διαθεσιμότητα παρά την πιθανότητα αποτυχίας ενός μόνο παρόχου και την άμυνα έναντι επιθέσεων Distributed Denial of Service (DDoS) [S1]. Τα τρία πρώτα εμπόδια είναι τεχνικά εμπόδια για την υιοθέτηση του Cloud Computing [S1].
2.  **Data Lock-In**: Αναφέρεται στην δυσκολία μεταφοράς δεδομένων και εφαρμογών μεταξύ διαφορετικών παρόχων cloud [S1, S2].
3.  **Data Confidentiality and Auditability (Εμπιστευτικότητα και Ελεγξιμότητα Δεδομένων)**: Αφορά τις ανησυχίες σχετικά με την ασφάλεια και την ιδιωτικότητα των δεδομένων που αποθηκεύονται στο cloud, καθώς και την ικανότητα ελέγχου της χρήσης τους [S1, S2].
4.  **Data Transfer Bottlenecks (Σημεία Συμφόρησης Μεταφοράς Δεδομένων)**: Περιγράφει τις προκλήσεις που σχετίζονται με την ταχύτητα και το κόστος μεταφοράς μεγάλων όγκων δεδομένων προς και από το cloud [S1, S2]. Τα επόμενα πέντε εμπόδια είναι τεχνικά εμπόδια για την ανάπτυξη του Cloud Computing μόλις αυτό υιοθετηθεί [S1].
5.  **Performance Unpredictability (Απροβλεψιμότητα Απόδοσης)**: Αναφέρεται στην αστάθεια της απόδοσης των εφαρμογών σε ένα περιβάλλον cloud, η οποία μπορεί να επηρεαστεί από την κοινή χρήση πόρων [S1, S2].
6.  **Scalable Storage (Επεκτάσιμη Αποθήκευση)**: Η πρόκληση της δημιουργίας ενός συστήματος αποθήκευσης που να μπορεί να κλιμακώνεται αυθαίρετα πάνω και κάτω κατ' απαίτηση, ενώ παράλληλα να πληροί τις προσδοκίες των προγραμματιστών όσον αφορά τη διαχείριση πόρων για επεκτασιμότητα, ανθεκτικότητα δεδομένων και υψηλή διαθεσιμότητα [S1, S3].
7.  **Bugs in Large-Scale Distributed Systems (Σφάλματα σε Κατανεμημένα Συστήματα Μεγάλης Κλίμακας)**: Η δυσκολία εντοπισμού και διόρθωσης σφαλμάτων σε πολύ μεγάλα κατανεμημένα συστήματα, ειδικά όταν αυτά δεν μπορούν να αναπαραχθούν σε μικρότερες διαμορφώσεις και απαιτούν εντοπισμό σφαλμάτων σε κλίμακα στα κέντρα δεδομένων παραγωγής [S1, S3].
8.  **Scaling Quickly (Γρήγορη Κλιμάκωση)**: Η ανάγκη για αυτόματη και γρήγορη κλιμάκωση των πόρων προς τα πάνω και προς τα κάτω ως απόκριση στο φορτίο, με σκοπό την εξοικονόμηση χρημάτων και πόρων, χωρίς παραβίαση των συμφωνιών επιπέδου υπηρεσίας [S1, S3].
9.  **Reputation Fate Sharing (Κοινή Χρήση Φήμης)**: Η κατάσταση όπου η κακή συμπεριφορά ενός πελάτη μπορεί να επηρεάσει τη φήμη του cloud στο σύνολό του, όπως η μαύρη λίστα διευθύνσεων IP από υπηρεσίες πρόληψης spam [S1, S3]. Τα δύο τελευταία εμπόδια είναι εμπόδια πολιτικής και επιχειρηματικά για την υιοθέτηση του Cloud Computing [S1].
10. **Software Licensing (Αδειοδότηση Λογισμικού)**: Οι προκλήσεις που σχετίζονται με τα μοντέλα αδειοδότησης λογισμικού σε ένα περιβάλλον cloud, όπως η ανάγκη για άδειες pay-for-use ή πωλήσεις χύδην χρήσης [S1, S2]."
q044,base,bare,en,multi_hop,630,8467,164,3.62,4,0,2,0,0,0,0,8,0,0,nan,nan,0,"The ExCamera paper reports that ExCamera achieved significantly faster encoding times compared to existing systems. For a 15-minute animated movie in 4K resolution, ExCamera (specifically ""ExCamera[6,1]"") encoded the video in 0.5 minutes, whereas the vpxenc multi-threaded encoder took 149 minutes. Similarly, for a 12-minute live-action 4K video, ExCamera (""ExCamera[6,1]"") completed encoding in 0.5 minutes, while the vpxenc multi-threaded encoder took 131 minutes. The Berkeley View paper, referencing ExCamera, states that it offers much lower latency, being 60x faster than Google's multithreaded vpxenc encoder on 128 cores."
q044,cite,bare,en,multi_hop,784,8568,204,4.37,5,5,2,0,0,0,2,8,5,0,0.7606837606837606,0.2172771672771673,0,"The ExCamera paper reports that ExCamera can achieve significantly faster video encoding times compared to existing systems [S7]. Specifically, for a 15-minute animated movie in 4K resolution, ExCamera (configured as ExCamera[6,1]) encoded the video in 0.5 minutes, while the `vpxenc multi-threaded` encoder took 149 minutes, demonstrating a speedup of approximately 298 times [S7]. Another configuration, ExCamera[6,16], completed the encoding in 2.6 minutes, which is approximately 57.3 times faster than `vpxenc multi-threaded` [S7]. The system is also reported to be 60x faster than Google’s multithreaded vpxenc encoder on 128 cores, while remaining cost-effective (6.17x cheaper) [S1]. ExCamera achieves comparable compression at the same quality level as existing systems [S7]."
