id,arm,fmt,lang,category,chars,prompt_tokens,completion_tokens,generation_s,sentences,n_cites,n_bad_format,n_fabricated,n_fab_page,n_placeholder,cited_pages,pages_sent,ground_n,ground_skipped,ground_cited,ground_floor,refused,answer
q001,base,bare,en,direct_fact,713,10147,139,2.24,5,0,0,0,0,0,0,8,0,0,nan,nan,0,"Cloud Computing is defined as encompassing both the applications delivered as services over the Internet and the hardware and systems software within the datacenters that provide these services. More specifically, it is the sum of Software as a Service (SaaS) and Utility Computing, but it does not typically include Private Clouds. SaaS refers to the services themselves, while the datacenter hardware and software are termed a Cloud. When a Cloud is made available to the general public in a pay-as-you-go manner, it is called a Public Cloud, and the service sold is Utility Computing. Private Clouds, conversely, refer to internal datacenters of a business or organization not accessible to the general public."
q001,cite,bare,en,direct_fact,826,10254,182,3.16,6,12,0,0,0,0,2,8,12,0,0.8073232323232321,0.48493867243867256,0,"Cloud Computing encompasses both the applications delivered as services over the Internet and the hardware and systems software within the datacenters that provide these services [S1, S3]. The applications delivered as services have historically been known as Software as a Service (SaaS) [S1, S3]. The datacenter hardware and software component is referred to as a Cloud [S1, S3]. When a Cloud is offered to the general public on a pay-as-you-go basis, it is termed a Public Cloud, and the service provided is Utility Computing [S1, S3]. Conversely, a Private Cloud refers to internal datacenters of a business or organization that are not made available to the general public [S1, S3]. Therefore, Cloud Computing is defined as the sum of SaaS and Utility Computing, but it typically does not include Private Clouds [S1, S3]."
q012,base,bare,gr,direct_fact,359,10615,93,2.59,3,0,0,0,0,0,0,8,0,0,nan,nan,0,"Το Utility Computing είναι η υπηρεσία που πωλείται όταν ένα Cloud διατίθεται στο ευρύ κοινό με τρόπο pay-as-you-go. Παραδείγματα δημόσιου Utility Computing περιλαμβάνουν τα Amazon Web Services, Google AppEngine και Microsoft Azure. Το Cloud Computing ορίζεται ως το άθροισμα του SaaS και του Utility Computing, αλλά δεν περιλαμβάνει συνήθως τα Private Clouds."
q012,cite,bare,gr,direct_fact,327,10722,103,3.23,3,5,0,0,0,0,3,8,3,2,1.0,0.8511904761904763,0,"Το Utility Computing είναι η υπηρεσία που πωλείται όταν ένα Cloud διατίθεται στο κοινό με τρόπο pay-as-you-go [S1, S2]. Αποτελεί το μακροχρόνιο όνειρο της πληροφορικής ως υπηρεσίας κοινής ωφέλειας [S2, S5]. Παραδείγματα δημόσιου Utility Computing περιλαμβάνουν τα Amazon Web Services, Google AppEngine και Microsoft Azure [S1]."
q002,base,bare,en,enumeration,788,9243,160,2.9,7,0,0,0,0,0,0,8,0,0,nan,nan,0,"From a hardware provisioning perspective, three new aspects characterize Cloud Computing:

1.  **Illusion of Infinite Resources:** Cloud Computing provides the illusion of infinite computing resources available on demand, which removes the necessity for users to plan extensively in advance for provisioning.
2.  **Elimination of Up-Front Commitment:** Cloud users are no longer required to make an up-front commitment, enabling companies to commence operations on a small scale and expand hardware resources only as their needs grow.
3.  **Pay-as-you-go Model:** Users gain the ability to pay for computing resources on a short-term, as-needed basis (e.g., processors by the hour, storage by the day) and release them when no longer required, thereby incentivizing resource conservation."
q002,cite,bare,en,enumeration,717,9350,151,2.29,4,8,0,0,0,0,2,8,8,0,0.6944444444444444,0.4628968253968254,0,"From a hardware provisioning perspective, Cloud Computing introduces three new aspects [S1] [S2]. First, it provides the illusion of infinite computing resources available on demand, which removes the necessity for Cloud Computing users to plan far in advance for provisioning [S1] [S2]. Second, Cloud users are no longer required to make an up-front commitment, enabling companies to begin with minimal resources and expand hardware only as their needs grow [S1] [S2]. Third, it offers the capability to pay for computing resources on a short-term, as-needed basis, such as processors by the hour and storage by the day, and to release them when no longer useful, thereby encouraging resource conservation [S1] [S2]."
q013,base,bare,gr,enumeration,1995,8295,677,6.08,21,0,0,0,0,0,0,8,0,0,nan,nan,0,"Σύμφωνα με το παρεχόμενο κείμενο, τα 10 κύρια εμπόδια στην ανάπτυξη του Cloud Computing είναι τα εξής:

1.  **Διαθεσιμότητα Υπηρεσίας (Availability of Service)**: Οι οργανισμοί ανησυχούν για το αν οι υπηρεσίες Utility Computing θα έχουν επαρκή διαθεσιμότητα, γεγονός που τους καθιστά επιφυλακτικούς απέναντι στο Cloud Computing.
2.  **Data Lock-In**: Το πρόβλημα της δέσμευσης δεδομένων σε έναν πάροχο, καθιστώντας δύσκολη τη μεταφορά τους σε άλλο πάροχο ή την επιστροφή σε on-premise υποδομές.
3.  **Εμπιστευτικότητα Δεδομένων και Δυνατότητα Ελέγχου (Data Confidentiality and Auditability)**: Ανησυχίες σχετικά με την εμπιστευτικότητα των δεδομένων και τη δυνατότητα ελέγχου τους, ειδικά όσον αφορά την τήρηση εθνικών νόμων.
4.  **Συμφόρηση στη Μεταφορά Δεδομένων (Data Transfer Bottlenecks)**: Περιορισμοί στην ταχύτητα μεταφοράς δεδομένων, οι οποίοι μπορούν να επηρεάσουν την απόδοση.
5.  **Απροβλεψιμότητα Απόδοσης (Performance Unpredictability)**: Η δυσκολία πρόβλεψης της απόδοσης των εφαρμογών σε ένα περιβάλλον Cloud, λόγω της κοινής χρήσης πόρων.
6.  **Scalable Storage**: Η ανάγκη για συστήματα αποθήκευσης που μπορούν να κλιμακώνονται αυθαίρετα προς τα πάνω και προς τα κάτω κατ' απαίτηση, συνδυάζοντας τα πλεονεκτήματα του Cloud.
7.  **Bugs σε Κατανεμημένα Συστήματα Μεγάλης Κλίμακας (Bugs in Large-Scale Distributed Systems)**: Η δυσκολία εντοπισμού και διόρθωσης σφαλμάτων σε πολύ μεγάλα κατανεμημένα συστήματα, καθώς συχνά δεν αναπαράγονται σε μικρότερες διαμορφώσεις.
8.  **Scaling Quickly**: Η πρόκληση της αυτόματης και γρήγορης κλιμάκωσης των πόρων προς τα πάνω και προς τα κάτω ως απάντηση στο φόρτο εργασίας, με στόχο την εξοικονόμηση κόστους και πόρων.
9.  **Reputation Fate Sharing**: Η πιθανότητα η κακή συμπεριφορά ενός πελάτη να επηρεάσει τη φήμη του Cloud στο σύνολό του, όπως η μαύρη λίστα διευθύνσεων IP.
10. **Software Licensing**: Θέματα που σχετίζονται με τις άδειες χρήσης λογισμικού σε ένα μοντέλο Cloud, όπως η ανάγκη για άδειες pay-for-use ή μαζικές πωλήσεις."
q013,cite,bare,gr,enumeration,808,8402,286,3.27,23,23,0,0,0,0,2,8,23,0,0.9746376811594202,0.5315734989648034,0,"Το paper αναφέρει δέκα κύρια εμπόδια στην ανάπτυξη του Cloud Computing, τα οποία παρατίθενται σε ταξινομημένη λίστα [S1, S2]. Αυτά τα εμπόδια είναι:
1.  Availability of Service [S1, S2]
2.  Data Lock-In [S1, S2]
3.  Data Confidentiality and Auditability [S1, S2]
4.  Data Transfer Bottlenecks [S1, S2]
5.  Performance Unpredictability [S1, S2]
6.  Scalable Storage [S1, S2]
7.  Bugs in Large-Scale Distributed Systems [S1, S2]
8.  Scaling Quickly [S1, S2]
9.  Reputation Fate Sharing [S1, S2]
10. Software Licensing [S1, S2]

Τα τρία πρώτα από αυτά είναι τεχνικά εμπόδια στην υιοθέτηση του Cloud Computing, τα επόμενα πέντε είναι τεχνικά εμπόδια στην ανάπτυξη του Cloud Computing μετά την υιοθέτησή του, και τα δύο τελευταία είναι εμπόδια πολιτικής και επιχειρηματικά στην υιοθέτηση του Cloud Computing [S1]."
q044,base,bare,en,multi_hop,1011,8459,313,4.05,12,0,6,0,0,0,0,8,0,0,nan,nan,0,"The ExCamera paper reports that ExCamera achieves significantly faster encoding times compared to existing systems.

Specifically, for a 15-minute animated movie in 4K resolution:
*   ExCamera[6,16] encoded the video in 2.6 minutes.
*   ExCamera[6,1] encoded the video in 0.5 minutes.
*   The `vpxenc multi-threaded` system took 149 minutes.

For a 12-minute live-action 4K video:
*   ExCamera[6,16] encoded the video in 2.2 minutes.
*   ExCamera[6,1] encoded the video in 0.5 minutes.
*   The `vpxenc multi-threaded` system took 131 minutes.

These results demonstrate that ExCamera is many times faster than existing encoding solutions like `vpxenc multi-threaded`. For instance, comparing ExCamera[6,1] (0.5 minutes) to `vpxenc multi-threaded` (149 minutes) for the animated movie shows a speedup of approximately 298 times (149 / 0.5). Similarly, for the live-action video, ExCamera[6,1] (0.5 minutes) compared to `vpxenc multi-threaded` (131 minutes) shows a speedup of approximately 262 times (131 / 0.5)."
q044,cite,bare,en,multi_hop,805,8566,228,3.36,4,4,2,0,0,0,2,8,4,0,0.7655822438431135,0.24691612735090995,0,"The ExCamera paper reports that ExCamera achieved significantly faster encoding times compared to existing systems [S7]. For a 15-minute animated movie in 4K resolution, ExCamera[6,1] encoded the video in 0.5 minutes, while the vpxenc multi-threaded encoder took 149 minutes, and the vpxenc single-threaded encoder took 453 minutes [S7]. Similarly, for a 12-minute live-action 4K video, ExCamera[6,1] completed encoding in 0.5 minutes, whereas vpxenc multi-threaded took 131 minutes and vpxenc single-threaded took 501 minutes [S7]. The Berkeley View paper further summarizes this by stating ExCamera offers much lower latency, being 60x faster than Google’s multithreaded vpxenc encoder on 128 cores, while also being 6.17x cheaper than encoding using vpxenc on an 128-core x1.32xlarge EC2 instance [S1]."
