id,category,question,enriched,best_before,best_after,cov_before,cov_after,verdict
h001,enumeration,How fast is each of the different kinds of storage they compared?,How fast is each of the different kinds of storage they compared latency throughput IOPS SSD HDD NVMe EBS S3 Glacier Azure Blob Storage Google Cloud Storage Ceph Rook MinIO OpenStack Swift,-1.907,0.11,33.3,100.0,ίδιο
h002,direct_fact,What exact settings did they use when they ran the encoder?,"What exact settings did they use when they ran the encoder? hyperparameters, configuration, parameters, environment variables",1.27,-1.017,0.0,0.0,ίδιο
h003,direct_fact,One of the obstacles they list is about moving big amounts of data around. What do they suggest doing about it?,"One of the obstacles they list is about moving big amounts of data around. What do they suggest doing about it?"" AND (data transfer optimization OR network latency OR bandwidth OR data egress)",-2.392,-1.637,100.0,100.0,ίδιο
h004,direct_fact,Τι λένε για τα νομικά ζητήματα εμπιστευτικότητας και ελέγχου;,"Τι λένε για τα νομικά ζητήματα εμπιστευτικότητας και ελέγχου GDPR, HIPAA, data sovereignty, compliance frameworks",-2.735,-2.479,0.0,100.0,ΣΩΘΗΚΕ
h005,direct_fact,Ποια είναι η διαφορά ανάμεσα στα δύο είδη υπηρεσιών που περιγράφουν;,"Ποια είναι η διαφορά ανάμεσα στα δύο είδη υπηρεσιών που περιγράφουν"" AND (SaaS OR PaaS OR IaaS OR FaaS OR microservices OR containerization OR orchestration OR Kubernetes OR serverless functions OR distributed ledger OR consensus protocols OR fault tolerance OR scalability OR latency OR throughput OR availability zones OR edge computing OR cloud native OR virtual machines OR bare metal OR hypervisor OR API gateway OR message queue OR load balancing OR auto-scaling OR service mesh OR CI/CD OR DevOps OR observability OR monitoring OR logging OR tracing OR security groups OR IAM roles OR data sovereignty OR compliance OR cost optimization OR resource allocation OR virtualization OR distributed transactions OR eventual consistency OR strong consistency OR CAP theorem OR Paxos OR Raft OR MapReduce OR Apache Kafka OR Apache Cassandra OR Apache Spark OR Hadoop OR OpenStack OR AWS Lambda OR Azure Functions OR Google Cloud Functions OR Kubernetes Engine OR Amazon EC2 OR Azure Virtual Machines OR Google Compute Engine OR Amazon S3 OR Azure Blob Storage OR Google Cloud Storage OR Amazon RDS OR Azure SQL Database OR Google Cloud SQL OR Amazon DynamoDB OR Azure Cosmos DB OR Google Cloud Datastore OR Amazon API Gateway OR Azure API Management OR Google Cloud Endpoints OR Amazon SQS OR Azure Service Bus OR Google Cloud Pub/Sub OR",-3.442,0.56,0.0,100.0,ΣΩΘΗΚΕ
h006,enumeration,Which kinds of programs have a hard time on these platforms today?,"Which kinds of programs have a hard time on these platforms today"" AND (cold start OR latency OR resource contention OR distributed transaction)",-2.164,-3.425,33.3,0.0,*** ΧΑΘΗΚΕ ***
h007,reasoning,Γιατί συμφέρει να μην αγοράζεις μηχανήματα από πριν;,Why is it beneficial not to buy machines beforehand? cloud elasticity pay-as-you-go serverless functions,-5.735,3.494,0.0,66.7,ΣΩΘΗΚΕ
h008,direct_fact,Why does the same thing end up costing different amounts in different places?,"Why does the same thing end up costing different amounts in different places cloud pricing model, resource allocation, regional variations, instance types",-6.236,-2.165,0.0,0.0,ΣΩΘΗΚΕ
h009,direct_fact,What do the authors of that system paper themselves say they contributed?,"What do the authors of that system paper themselves say they contributed AND ""research contributions"" OR ""novelty"" OR ""key findings"" OR ""architectural innovations",-5.331,-9.18,0.0,0.0,ίδιο
h010,direct_fact,Τι παράδειγμα δίνουν για κινητά;,"Τι παράδειγμα δίνουν για κινητά mobile edge computing, fog computing, IoT, smartphones",-7.966,-1.758,0.0,0.0,ΣΩΘΗΚΕ
