id,arm,fmt,lang,category,chars,prompt_tokens,completion_tokens,generation_s,sentences,n_cites,n_bad_format,n_fabricated,n_fab_page,n_placeholder,cited_pages,pages_sent,ground_n,ground_skipped,ground_cited,ground_floor,refused,answer
q001,base,label,en,direct_fact,332,10147,60,1.95,2,0,0,0,0,0,0,8,0,0,nan,nan,0,"Cloud Computing is defined as encompassing both the applications delivered as services over the Internet and the hardware and systems software within the datacenters that provide these services. More specifically, it is the sum of Software as a Service (SaaS) and Utility Computing, but it does not typically include Private Clouds."
q001,cite,label,en,direct_fact,805,10268,208,3.13,5,10,0,5,5,0,1,8,5,0,0.8106060606060606,0.4906060606060606,0,"Cloud Computing is defined as both the applications delivered as services over the Internet and the hardware and systems software within datacenters that provide these services [S1, p.3], [S3, p.4]. The services themselves are referred to as Software as a Service (SaaS), while the datacenter hardware and software is termed a Cloud [S1, p.3], [S3, p.4]. When a Cloud is offered to the general public on a pay-as-you-go basis, it is called a Public Cloud, and the service sold is Utility Computing [S1, p.3], [S3, p.4]. Conversely, a Private Cloud refers to internal datacenters of a business or organization not accessible to the general public [S1, p.3], [S3, p.4]. Therefore, Cloud Computing encompasses the sum of SaaS and Utility Computing, but typically excludes Private Clouds [S1, p.3], [S3, p.4]."
q012,base,label,gr,direct_fact,380,10615,98,2.66,3,0,0,0,0,0,0,8,0,0,nan,nan,0,"Το Utility Computing είναι η υπηρεσία που πωλείται όταν ένα Cloud διατίθεται στο κοινό με τρόπο pay-as-you-go. Αποτελεί μέρος του Cloud Computing, το οποίο ορίζεται ως το άθροισμα του SaaS και του Utility Computing, αλλά δεν περιλαμβάνει συνήθως τα Private Clouds. Παραδείγματα δημόσιου Utility Computing περιλαμβάνουν τα Amazon Web Services, Google AppEngine και Microsoft Azure."
q012,cite,label,gr,direct_fact,558,10736,164,3.13,4,4,0,0,0,0,2,8,4,0,1.0,0.810515873015873,0,"Το Utility Computing είναι η υπηρεσία που πωλείται όταν ένα Cloud διατίθεται στο κοινό με τρόπο pay-as-you-go [S1, p.6]. Συγκεκριμένα, όταν ένα Cloud καθίσταται διαθέσιμο στο ευρύ κοινό με αυτόν τον τρόπο, ονομάζεται Public Cloud, και η υπηρεσία που πωλείται είναι το Utility Computing [S2, p.3]. Το Cloud Computing ορίζεται ως το άθροισμα του SaaS και του Utility Computing, αλλά συνήθως δεν περιλαμβάνει τα Private Clouds [S2, p.3]. Παραδείγματα public Utility Computing περιλαμβάνουν τα Amazon Web Services, Google AppEngine και Microsoft Azure [S1, p.6]."
q002,base,label,en,enumeration,788,9243,159,2.84,7,0,0,0,0,0,0,8,0,0,nan,nan,0,"From a hardware provisioning perspective, three new aspects characterize Cloud Computing:

1.  **Illusion of Infinite Resources:** Cloud Computing provides the illusion of infinite computing resources available on demand, which removes the necessity for users to plan extensively in advance for provisioning.
2.  **Elimination of Up-Front Commitment:** Cloud users are no longer required to make an up-front commitment, enabling companies to commence operations on a small scale and expand hardware resources only as their needs grow.
3.  **Pay-as-you-go Model:** Users gain the ability to pay for computing resources on a short-term, as-needed basis (e.g., processors by the hour, storage by the day) and release them when no longer required, thereby incentivizing resource conservation."
q002,cite,label,en,enumeration,705,9364,171,2.91,7,6,0,3,3,0,1,8,3,0,0.7269841269841271,0.4646258503401361,0,"From a hardware provisioning perspective, three new aspects characterize Cloud Computing:

1.  It provides the illusion of infinite computing resources available on demand, which removes the necessity for Cloud Computing users to plan far in advance for provisioning [S1, p.3], [S2, p.4].
2.  Cloud users are freed from an up-front commitment, enabling companies to begin small and expand hardware resources only as their needs grow [S1, p.3], [S2, p.4].
3.  There is the capability to pay for computing resources on a short-term, as-needed basis (e.g., processors by the hour and storage by the day) and release them when no longer required, which incentivizes resource conservation [S1, p.3], [S2, p.4]."
q013,base,label,gr,enumeration,2078,8295,710,6.83,21,0,0,0,0,0,0,8,0,0,nan,nan,0,"Σύμφωνα με το παρεχόμενο κείμενο, τα 10 κύρια εμπόδια στην ανάπτυξη του Cloud Computing είναι τα εξής:

1.  **Availability of Service (Διαθεσιμότητα Υπηρεσίας):** Οι οργανισμοί ανησυχούν για το αν οι υπηρεσίες Utility Computing θα έχουν επαρκή διαθεσιμότητα, γεγονός που τους καθιστά επιφυλακτικούς απέναντι στο Cloud Computing.
2.  **Data Lock-In (Εγκλωβισμός Δεδομένων):** Αυτό αναφέρεται στην πρόκληση της δέσμευσης των δεδομένων σε έναν συγκεκριμένο πάροχο cloud.
3.  **Data Confidentiality and Auditability (Εμπιστευτικότητα και Ελεγξιμότητα Δεδομένων):** Αφορά τις ανησυχίες σχετικά με την ασφάλεια και την ιδιωτικότητα των δεδομένων, καθώς και τη δυνατότητα ελέγχου τους.
4.  **Data Transfer Bottlenecks (Συμφόρηση Μεταφοράς Δεδομένων):** Περιορισμοί στην ταχύτητα μεταφοράς δεδομένων, οι οποίοι μπορούν να επηρεάσουν την απόδοση.
5.  **Performance Unpredictability (Απροβλεψιμότητα Απόδοσης):** Η δυσκολία πρόβλεψης της απόδοσης των συστημάτων cloud.
6.  **Scalable Storage (Επεκτάσιμη Αποθήκευση):** Η πρόκληση της δημιουργίας ενός συστήματος αποθήκευσης που να μπορεί να κλιμακώνεται αυθαίρετα προς τα πάνω και προς τα κάτω κατ' απαίτηση, ενώ παράλληλα να πληροί τις προσδοκίες των προγραμματιστών για διαχείριση πόρων, ανθεκτικότητα δεδομένων και υψηλή διαθεσιμότητα.
7.  **Bugs in Large-Scale Distributed Systems (Σφάλματα σε Κατανεμημένα Συστήματα Μεγάλης Κλίμακας):** Η δυσκολία εντοπισμού και διόρθωσης σφαλμάτων σε πολύ μεγάλα κατανεμημένα συστήματα, ειδικά όταν αυτά δεν μπορούν να αναπαραχθούν σε μικρότερες διαμορφώσεις.
8.  **Scaling Quickly (Γρήγορη Κλιμάκωση):** Η ανάγκη για αυτόματη και γρήγορη κλιμάκωση των πόρων προς τα πάνω και προς τα κάτω ως απάντηση στο φόρτο εργασίας, με στόχο την εξοικονόμηση χρημάτων και την τήρηση των συμφωνιών επιπέδου υπηρεσιών.
9.  **Reputation Fate Sharing (Κοινή Μοίρα Φήμης):** Η κατάσταση όπου η κακή συμπεριφορά ενός πελάτη μπορεί να επηρεάσει τη φήμη του cloud στο σύνολό του.
10. **Software Licensing (Αδειοδότηση Λογισμικού):** Τα ζητήματα που σχετίζονται με τις άδειες χρήσης λογισμικού στο περιβάλλον του cloud."
q013,cite,label,gr,enumeration,2303,8416,811,6.41,22,16,0,1,1,0,3,8,14,1,1.0,0.5649659863945579,0,"Τα 10 κύρια εμπόδια στην ανάπτυξη του Cloud Computing, όπως αναφέρονται στο paper, είναι τα εξής:

1.  **Availability of Service**: Οι οργανισμοί ανησυχούν για το αν οι υπηρεσίες Utility Computing θα έχουν επαρκή διαθεσιμότητα, γεγονός που τους καθιστά επιφυλακτικούς απέναντι στο Cloud Computing [S1, p.16]. Οι χρήστες αναμένουν παρόμοια διαθεσιμότητα από τις νέες υπηρεσίες, κάτι που είναι δύσκολο να επιτευχθεί [S1, p.16].
2.  **Data Lock-In**: Αυτό το εμπόδιο αφορά την δυσκολία μεταφοράς δεδομένων και εφαρμογών μεταξύ διαφορετικών παρόχων cloud [S1, p.16], [S2, p.5].
3.  **Data Confidentiality and Auditability**: Αναφέρεται στις ανησυχίες σχετικά με την εμπιστευτικότητα των δεδομένων και την δυνατότητα ελέγχου τους στο περιβάλλον του cloud [S1, p.16], [S2, p.5].
4.  **Data Transfer Bottlenecks**: Πρόκειται για τα προβλήματα που σχετίζονται με τους περιορισμούς στην ταχύτητα μεταφοράς δεδομένων [S1, p.16], [S2, p.5].
5.  **Performance Unpredictability**: Αναφέρεται στην απρόβλεπτη απόδοση των συστημάτων cloud [S1, p.16], [S2, p.5].
6.  **Scalable Storage**: Το εμπόδιο αυτό αφορά την πρόκληση της δημιουργίας ενός συστήματος αποθήκευσης που να μπορεί να κλιμακώνεται αυθαίρετα προς τα πάνω και προς τα κάτω κατ' απαίτηση, ενώ παράλληλα να πληροί τις προσδοκίες των προγραμματιστών όσον αφορά τη διαχείριση πόρων για επεκτασιμότητα, ανθεκτικότητα δεδομένων και υψηλή διαθεσιμότητα [S3, p.20].
7.  **Bugs in Large-Scale Distributed Systems**: Η αφαίρεση σφαλμάτων σε αυτά τα πολύ μεγάλης κλίμακας κατανεμημένα συστήματα είναι μια δύσκολη πρόκληση, καθώς συχνά δεν μπορούν να αναπαραχθούν σε μικρότερες διαμορφώσεις, απαιτώντας εντοπισμό σφαλμάτων σε κλίμακα στα κέντρα δεδομένων παραγωγής [S3, p.20].
8.  **Scaling Quickly**: Το εμπόδιο αυτό σχετίζεται με την ανάγκη για γρήγορη αυτόματη κλιμάκωση προς τα πάνω και προς τα κάτω ως απόκριση στο φορτίο, με σκοπό την εξοικονόμηση χρημάτων χωρίς παραβίαση των συμφωνιών επιπέδου υπηρεσιών [S3, p.20].
9.  **Reputation Fate Sharing**: Η κακή συμπεριφορά ενός πελάτη μπορεί να επηρεάσει τη φήμη του cloud στο σύνολό του, όπως η μαύρη λίστα διευθύνσεων IP του EC2 από υπηρεσίες πρόληψης spam [S3, p.18].
10. **Software Licensing**: Αφορά τις προκλήσεις που σχετίζονται με την αδειοδότηση λογισμικού στο περιβάλλον του cloud [S1, p.16], [S2, p.5]."
q044,base,label,en,multi_hop,543,8459,135,3.56,4,0,2,0,0,0,0,8,0,0,nan,nan,0,"The ExCamera paper reports that ExCamera achieved significantly faster encoding times compared to existing systems. For a 15-minute animated movie in 4K resolution, ExCamera encoded the video in 0.5 minutes (using the [6,1] configuration), while the vpxenc multi-threaded encoder took 149 minutes. Similarly, for a 12-minute live-action 4K video, ExCamera (in [6,1] configuration) completed encoding in 0.5 minutes, whereas vpxenc multi-threaded required 131 minutes. This demonstrates ExCamera's ability to provide many times faster encoding."
q044,cite,label,en,multi_hop,984,8580,263,4.19,5,4,2,0,0,0,2,8,4,0,0.8182598039215687,0.21163165266106443,0,"The ExCamera paper reports that ExCamera achieved significantly faster video encoding times compared to existing systems. Specifically, ExCamera was many times faster than existing systems while maintaining comparable compression at the same quality level relative to the original uncompressed video [S7, p.3]. For a 15-minute animated movie in 4K resolution, ExCamera (configured as [6,16]) encoded the video in 2.6 minutes, whereas vpxenc multi-threaded took 149 minutes for comparable bitrate and SSIM [S7, p.3]. For a 12-minute live-action 4K video, ExCamera (configured as [6,16]) completed encoding in 2.2 minutes, compared to 131 minutes for vpxenc multi-threaded [S7, p.3]. The Berkeley View paper further summarizes this, stating that ExCamera offers much lower latency, being 60x faster than Google’s multithreaded vpxenc encoder on 128 cores, while also remaining cost-effective (6.17x cheaper than encoding using vpxenc on an 128-core x1.32xlarge EC2 instance) [S1, p.29]."
