id,category,q1,q2,best1,best2,kw1,kw2,outcome
h005,direct_fact,What is the difference between the two types of services they describe?,What is the distinction between the two service models described?,-3.5874204635620117,-1.366216778755188,1,1,ΣΩΘΗΚΕ
h008,direct_fact,Why does the same thing end up costing different amounts in different places?,Why do identical cloud resource allocations incur varying costs across different cloud providers or geographical regions?,-6.23569393157959,-1.7709051370620728,,13,ΣΩΘΗΚΕ
h009,direct_fact,What do the authors of that system paper themselves say they contributed?,What are the claimed contributions of the authors of that system paper?,-5.330951690673828,-3.9300537109375,,,ακόμα κομμ.
h012,multi_hop,Specific implementation versus general description,What are the distinctions between specific implementations and general descriptions in the context of distributed systems architectures?,-5.298546314239502,-2.572970390319824,,,ΣΩΘΗΚΕ
h015,multi_hop,Is it still worth keeping the data right next to the machines doing the work?,"In distributed systems, does data locality still provide significant performance benefits for compute-intensive workloads?",-4.991783618927002,4.9869184494018555,9,1,ΣΩΘΗΚΕ
h016,multi_hop,Why do they bring up that older system as a warning?,Why is that older system presented as a cautionary example?,-9.368318557739258,-6.847462177276611,8,11,ακόμα κομμ.
q019,out_of_corpus,What do the documents say about quantum computing performance?,What do the documents say about quantum computing performance?,-4.441519260406494,-4.441519260406494,,,κομμένο
q020,out_of_corpus,Bitcoin price,Bitcoin price,-5.4598565101623535,-5.4598565101623535,,,κομμένο
q048,out_of_corpus,What do the documents say about GDPR compliance requirements for cloud providers?,What are the General Data Protection Regulation (GDPR) compliance requirements for cloud service providers?,-3.119509220123291,-1.1450941562652588,,,ΔΙΑΡΡΟΗ
q049,out_of_corpus,clinical trial results,How can distributed systems be leveraged to manage and analyze clinical trial results?,-9.403556823730469,-8.909891128540039,,,κομμένο
q050,out_of_corpus,What benchmark results for GPU tensor cores are reported in these papers?,What are the reported benchmark results for GPU tensor cores?,-5.053423881530762,-6.155440807342529,,,κομμένο
