id,set,category,question,tr_flash,tr_alt,best_flash,best_alt
q012,golden_set_50.jsonl,direct_fact,Τι είναι το utility computing;,What is utility computing?,utility computing,3.7778282165527344,6.146399974822998
q013,golden_set_50.jsonl,enumeration,Ποια είναι τα 10 κύρια εμπόδια του cloud computing που αναφέρει το paper;,Top 10 cloud computing challenges mentioned in the paper,top 10 obstacles cloud computing paper,6.718211650848389,8.01169204711914
q014,golden_set_50.jsonl,reasoning,Πώς βοηθά η ελαστικότητα στη μεταφορά του ρίσκου πρόβλεψης ζήτησης;,How does elasticity help in demand forecasting risk transfer?,elasticity demand forecasting risk transfer,0.5646831393241882,0.6780500411987305
q015,golden_set_50.jsonl,direct_fact,Τι είναι το cold start στο serverless computing;,cold start serverless computing,cold start serverless computing,6.777395248413086,6.777395248413086
q016,golden_set_50.jsonl,reasoning,Γιατί το serverless απλοποιεί τον προγραμματισμό στο cloud;,Why serverless simplifies cloud programming?,serverless computing simplify programming cloud computing,6.873054504394531,8.398666381835938
q017,golden_set_50.jsonl,direct_fact,Τι αναφέρει το paper για το reputation fate sharing;,reputation fate sharing,reputation fate sharing,5.9995622634887695,5.9995622634887695
q018,golden_set_50.jsonl,reasoning,Τι προβλέπει το paper για το μέλλον του serverless computing;,Future of serverless computing,future predictions serverless computing,8.10957145690918,7.4430999755859375
q020,golden_set_50.jsonl,out_of_corpus,Ποια είναι η τιμή του Bitcoin σύμφωνα με τα έγγραφα;,Bitcoin price,Bitcoin price,-5.4598565101623535,-5.4598565101623535
q023,golden_set_50.jsonl,enumeration,Ποια είναι τα κύρια αρχιτεκτονικά στοιχεία της πλατφόρμας IBM OpenWhisk;,IBM OpenWhisk architectural components,IBM OpenWhisk platform architecture components,6.304117202758789,6.74305534362793
q025,golden_set_50.jsonl,direct_fact,Ποιες τιμές ηλεκτρικού ρεύματος ανά κιλοβατώρα αναφέρει το paper και για ποιον λόγο διαφέρουν;,Kilowatt-hour electricity pricing differences,electricity prices kilowatt hour variation reasons,0.8191567659378052,-0.01369033008813858
q029,golden_set_50.jsonl,reasoning,Πώς εγγυάται το MapReduce το ίδιο αποτέλεσμα παρά τις αστοχίες μηχανημάτων;,MapReduce fault tolerance consistency,map-reduce guarantee same result machine failures,4.937742233276367,2.621311902999878
q030,golden_set_50.jsonl,reasoning,Γιατί το paper υποστηρίζει ότι η φράση pay as you go αποδίδει καλύτερα το οικονομικό όφελος από το CapEx to OpEx;,Why does the paper argue that pay as you go better reflects the financial benefit than CapEx to OpEx?,pay as you go economic benefit CapEx OpEx,4.800077438354492,6.645764350891113
q033,golden_set_50.jsonl,direct_fact,Ποιο παράδειγμα κόστους αδειοδότησης λογισμικού δίνει το paper και πώς συγκρίνεται η τιμή του Windows στο EC2 με την έκδοση ανοιχτού κώδικα;,Software licensing cost example and Windows on EC2 pricing versus open-source version,software licensing cost Windows EC2 price open source comparison,7.299078464508057,6.693784236907959
q035,golden_set_50.jsonl,reasoning,Πώς απαντά το paper στον ισχυρισμό ότι οι cloud functions δεν μπορούν να εξυπηρετήσουν εφαρμογές χαμηλής καθυστέρησης;,cloud functions low-latency applications,cloud functions low latency applications,6.9614105224609375,6.905206680297852
q037,golden_set_50.jsonl,direct_fact,Τι αναφέρει το κείμενο για την επέκταση του serverless πέρα από τα παραδοσιακά cloud platforms;,Serverless computing beyond traditional cloud platforms,serverless computing extension beyond traditional cloud platforms,8.89747428894043,8.84691047668457
q041,golden_set_50.jsonl,enumeration,Πώς λειτουργεί ο μηχανισμός των counters στο MapReduce;,MapReduce counters mechanism operation,map-reduce counters mechanism,6.084099769592285,3.7552504539489746
q042,golden_set_50.jsonl,reasoning,Πόσο επηρεάζουν οι backup tasks και οι αστοχίες μηχανημάτων τον χρόνο εκτέλεσης του sort;,Impact of backup tasks and machine failures on sort execution time,impact backup tasks machine failures execution time sort,7.61417293548584,7.224675178527832
q045,golden_set_50.jsonl,multi_hop,Πώς περιγράφουν το πρόβλημα της αποθήκευσης στο serverless το Berkeley view και η κριτική του CIDR;,Berkeley view and CIDR criticism of serverless storage,serverless computing storage problem Berkeley view CIDR critique,3.155158519744873,3.752107620239258
q047,golden_set_50.jsonl,multi_hop,Ποια στοιχεία προσθέτει η αρχιτεκτονική του OpenWhisk σε σχέση με το γενικό serverless επίπεδο που περιγράφει το Berkeley view;,OpenWhisk architecture versus Berkeley view of serverless computing,OpenWhisk architecture serverless computing Berkeley view,3.9491963386535645,4.741594314575195
q049,golden_set_50.jsonl,out_of_corpus,Ποια αποτελέσματα κλινικών δοκιμών αναφέρονται στα έγγραφα;,Clinical trial results,clinical trial results,-9.403556823730469,-9.403556823730469
h004,golden_hard_paraphrase.jsonl,direct_fact,Τι λένε για τα νομικά ζητήματα εμπιστευτικότητας και ελέγχου;,Confidentiality and auditing legal issues,legal issues confidentiality control,-2.5230236053466797,-7.4762773513793945
