id,set,category,best,cut,coverage,verdict,n_pages
q001,golden_set_50.jsonl,direct_fact,3.625,False,100.0,YES,8
q002,golden_set_50.jsonl,enumeration,9.271,False,100.0,YES,8
q003,golden_set_50.jsonl,direct_fact,2.062,False,100.0,YES,8
q004,golden_set_50.jsonl,reasoning,6.137,False,100.0,YES,8
q005,golden_set_50.jsonl,direct_fact,4.806,False,100.0,YES,8
q006,golden_set_50.jsonl,enumeration,4.633,False,100.0,YES,8
q007,golden_set_50.jsonl,direct_fact,2.141,False,100.0,YES,8
q008,golden_set_50.jsonl,enumeration,5.438,False,100.0,YES,8
q009,golden_set_50.jsonl,reasoning,5.061,False,100.0,YES,8
q010,golden_set_50.jsonl,direct_fact,5.704,False,100.0,YES,8
q011,golden_set_50.jsonl,enumeration,5.426,False,100.0,YES,8
q012,golden_set_50.jsonl,direct_fact,4.609,False,100.0,YES,8
q013,golden_set_50.jsonl,enumeration,6.718,False,100.0,YES,8
q014,golden_set_50.jsonl,reasoning,0.678,False,100.0,YES,8
q015,golden_set_50.jsonl,direct_fact,6.777,False,100.0,YES,8
q016,golden_set_50.jsonl,reasoning,6.873,False,100.0,YES,8
q017,golden_set_50.jsonl,direct_fact,6.0,False,100.0,YES,8
q018,golden_set_50.jsonl,reasoning,8.11,False,100.0,YES,8
q019,golden_set_50.jsonl,out_of_corpus,-4.442,True,0.0,NO,8
q020,golden_set_50.jsonl,out_of_corpus,-5.46,True,0.0,NO,8
q021,golden_set_50.jsonl,enumeration,5.634,False,100.0,YES,7
q022,golden_set_50.jsonl,enumeration,7.095,False,100.0,YES,8
q023,golden_set_50.jsonl,enumeration,6.304,False,100.0,YES,8
q024,golden_set_50.jsonl,enumeration,5.447,False,100.0,YES,7
q025,golden_set_50.jsonl,direct_fact,0.355,False,100.0,YES,8
q026,golden_set_50.jsonl,reasoning,7.694,False,100.0,YES,8
q027,golden_set_50.jsonl,enumeration,-2.078,False,100.0,YES,8
q028,golden_set_50.jsonl,direct_fact,0.381,False,100.0,YES,8
q029,golden_set_50.jsonl,reasoning,4.134,False,100.0,YES,8
q030,golden_set_50.jsonl,reasoning,4.913,False,100.0,NO,8
q031,golden_set_50.jsonl,direct_fact,6.095,False,100.0,YES,8
q032,golden_set_50.jsonl,enumeration,3.016,False,100.0,YES,8
q033,golden_set_50.jsonl,direct_fact,6.964,False,100.0,YES,8
q034,golden_set_50.jsonl,enumeration,4.535,False,100.0,YES,8
q035,golden_set_50.jsonl,reasoning,6.961,False,100.0,YES,8
q036,golden_set_50.jsonl,direct_fact,4.93,False,100.0,YES,8
q037,golden_set_50.jsonl,direct_fact,8.88,False,100.0,YES,8
q038,golden_set_50.jsonl,reasoning,6.873,False,100.0,YES,7
q039,golden_set_50.jsonl,reasoning,2.811,False,100.0,YES,8
q040,golden_set_50.jsonl,enumeration,4.143,False,100.0,YES,8
q041,golden_set_50.jsonl,enumeration,6.084,False,100.0,YES,8
q042,golden_set_50.jsonl,reasoning,7.614,False,100.0,YES,7
q043,golden_set_50.jsonl,direct_fact,5.485,False,100.0,YES,8
q044,golden_set_50.jsonl,multi_hop,4.094,False,66.7,YES,8
q045,golden_set_50.jsonl,multi_hop,2.123,False,66.7,YES,8
q046,golden_set_50.jsonl,multi_hop,2.336,False,100.0,YES,8
q047,golden_set_50.jsonl,multi_hop,1.678,False,100.0,NO,8
q048,golden_set_50.jsonl,out_of_corpus,-3.12,True,0.0,NO,8
q049,golden_set_50.jsonl,out_of_corpus,-9.404,True,0.0,NO,8
q050,golden_set_50.jsonl,out_of_corpus,-5.053,True,0.0,NO,8
q051,golden_multihop_new.jsonl,multi_hop,1.405,False,100.0,YES,8
q052,golden_multihop_new.jsonl,multi_hop,1.092,False,33.3,NO,8
q053,golden_multihop_new.jsonl,multi_hop,2.9,False,100.0,YES,5
q054,golden_multihop_new.jsonl,multi_hop,0.807,False,66.7,YES,8
q055,golden_multihop_new.jsonl,multi_hop,4.477,False,100.0,YES,8
q056,golden_multihop_new.jsonl,multi_hop,4.002,False,100.0,YES,8
q057,golden_multihop_new.jsonl,multi_hop,0.613,False,100.0,YES,6
q059,golden_multihop_new.jsonl,multi_hop,1.322,False,100.0,YES,8
q060,golden_multihop_new.jsonl,multi_hop,3.368,False,66.7,YES,7
q061,golden_multihop_new.jsonl,multi_hop,2.293,False,66.7,YES,8
q062,golden_multihop_new.jsonl,multi_hop,2.222,False,33.3,NO,8
h001,golden_hard_paraphrase.jsonl,enumeration,-1.907,False,33.3,YES,8
h002,golden_hard_paraphrase.jsonl,direct_fact,1.27,False,0.0,NO,6
h003,golden_hard_paraphrase.jsonl,direct_fact,-2.392,False,100.0,YES,8
h004,golden_hard_paraphrase.jsonl,direct_fact,-0.686,False,100.0,YES,8
h005,golden_hard_paraphrase.jsonl,direct_fact,-3.587,True,50.0,NO,8
h006,golden_hard_paraphrase.jsonl,enumeration,-2.164,False,33.3,YES,8
h007,golden_hard_paraphrase.jsonl,reasoning,-1.499,False,100.0,YES,8
h008,golden_hard_paraphrase.jsonl,direct_fact,-6.236,True,0.0,NO,8
h009,golden_hard_paraphrase.jsonl,direct_fact,-5.331,True,0.0,YES,8
h010,golden_hard_paraphrase.jsonl,direct_fact,2.17,False,100.0,YES,8
h011,golden_hard_paraphrase.jsonl,multi_hop,-2.352,False,66.7,YES,8
h012,golden_hard_paraphrase.jsonl,multi_hop,-5.299,True,0.0,NO,8
h013,golden_hard_paraphrase.jsonl,multi_hop,-1.977,False,33.3,NO,8
h014,golden_hard_paraphrase.jsonl,multi_hop,-1.984,False,66.7,YES,8
h015,golden_hard_paraphrase.jsonl,multi_hop,-4.992,True,0.0,YES,8
h016,golden_hard_paraphrase.jsonl,multi_hop,-9.368,True,66.7,NO,8
