model,group,id,category,best,kw_rank
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h001,enumeration,-2.004324197769165,3
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h002,direct_fact,-0.23126554489135742,
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h003,direct_fact,-2.722794532775879,3
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h004,direct_fact,-0.4673524498939514,1
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h005,direct_fact,-3.286621570587158,2
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h006,enumeration,-2.723301649093628,9
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h007,reasoning,-1.164267897605896,1
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h008,direct_fact,-5.175212860107422,
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h009,direct_fact,-2.992046356201172,
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h010,direct_fact,0.0003313906490802765,5
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h011,multi_hop,-1.5470000505447388,3
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h012,multi_hop,-6.179714202880859,
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h013,multi_hop,-3.0940089225769043,1
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h014,multi_hop,-0.27979087829589844,1
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h015,multi_hop,-3.8718411922454834,9
cross-encoder/ms-marco-MiniLM-L-6-v2,hard,h016,multi_hop,-9.957977294921875,11
cross-encoder/ms-marco-MiniLM-L-6-v2,normal,q001,direct_fact,2.961709976196289,1
cross-encoder/ms-marco-MiniLM-L-6-v2,normal,q002,enumeration,9.19236946105957,1
cross-encoder/ms-marco-MiniLM-L-6-v2,normal,q003,direct_fact,1.533843755722046,1
cross-encoder/ms-marco-MiniLM-L-6-v2,normal,q004,reasoning,6.207307815551758,1
cross-encoder/ms-marco-MiniLM-L-6-v2,normal,q005,direct_fact,3.8238742351531982,1
cross-encoder/ms-marco-MiniLM-L-6-v2,normal,q006,enumeration,4.413993835449219,3
cross-encoder/ms-marco-MiniLM-L-6-v2,normal,q007,direct_fact,1.0183519124984741,1
cross-encoder/ms-marco-MiniLM-L-6-v2,normal,q008,enumeration,5.325722694396973,2
cross-encoder/ms-marco-MiniLM-L-6-v2,normal,q009,reasoning,4.912439823150635,1
cross-encoder/ms-marco-MiniLM-L-6-v2,normal,q010,direct_fact,5.561311721801758,1
cross-encoder/ms-marco-MiniLM-L-6-v2,ooc,q019,out_of_corpus,-3.98898983001709,
cross-encoder/ms-marco-MiniLM-L-6-v2,ooc,q020,out_of_corpus,-6.547511100769043,
cross-encoder/ms-marco-MiniLM-L-6-v2,ooc,q048,out_of_corpus,-2.685126781463623,
cross-encoder/ms-marco-MiniLM-L-6-v2,ooc,q049,out_of_corpus,-10.665491104125977,
cross-encoder/ms-marco-MiniLM-L-6-v2,ooc,q050,out_of_corpus,-3.27569580078125,
BAAI/bge-reranker-base,hard,h001,enumeration,0.9035158753395081,5
BAAI/bge-reranker-base,hard,h002,direct_fact,0.09784521907567978,
BAAI/bge-reranker-base,hard,h003,direct_fact,0.16649438440799713,1
BAAI/bge-reranker-base,hard,h004,direct_fact,0.4850351810455322,1
BAAI/bge-reranker-base,hard,h005,direct_fact,0.9838700890541077,1
BAAI/bge-reranker-base,hard,h006,enumeration,0.969452440738678,10
BAAI/bge-reranker-base,hard,h007,reasoning,0.2833922505378723,2
BAAI/bge-reranker-base,hard,h008,direct_fact,0.019794195890426636,
BAAI/bge-reranker-base,hard,h009,direct_fact,0.1120142787694931,
BAAI/bge-reranker-base,hard,h010,direct_fact,0.6931009888648987,1
BAAI/bge-reranker-base,hard,h011,multi_hop,0.9959868788719177,4
BAAI/bge-reranker-base,hard,h012,multi_hop,0.041518811136484146,
BAAI/bge-reranker-base,hard,h013,multi_hop,0.2829694449901581,1
BAAI/bge-reranker-base,hard,h014,multi_hop,0.28979942202568054,2
BAAI/bge-reranker-base,hard,h015,multi_hop,0.8567072749137878,3
BAAI/bge-reranker-base,hard,h016,multi_hop,0.2965660095214844,3
BAAI/bge-reranker-base,normal,q001,direct_fact,0.27814918756484985,1
BAAI/bge-reranker-base,normal,q002,enumeration,0.9993497729301453,1
BAAI/bge-reranker-base,normal,q003,direct_fact,0.9556643962860107,1
BAAI/bge-reranker-base,normal,q004,reasoning,0.9797713160514832,1
BAAI/bge-reranker-base,normal,q005,direct_fact,0.9888215065002441,1
BAAI/bge-reranker-base,normal,q006,enumeration,0.895133376121521,4
BAAI/bge-reranker-base,normal,q007,direct_fact,0.9979598522186279,1
BAAI/bge-reranker-base,normal,q008,enumeration,0.9018346667289734,2
BAAI/bge-reranker-base,normal,q009,reasoning,0.9768736958503723,1
BAAI/bge-reranker-base,normal,q010,direct_fact,0.9892197251319885,1
BAAI/bge-reranker-base,ooc,q019,out_of_corpus,0.005714218597859144,
BAAI/bge-reranker-base,ooc,q020,out_of_corpus,0.009923878125846386,
BAAI/bge-reranker-base,ooc,q048,out_of_corpus,0.9626154899597168,
BAAI/bge-reranker-base,ooc,q049,out_of_corpus,0.0729796439409256,
BAAI/bge-reranker-base,ooc,q050,out_of_corpus,0.39415106177330017,
cross-encoder/ms-marco-MiniLM-L-12-v2,hard,h001,enumeration,-1.906752586364746,3
cross-encoder/ms-marco-MiniLM-L-12-v2,hard,h002,direct_fact,1.2696884870529175,
cross-encoder/ms-marco-MiniLM-L-12-v2,hard,h003,direct_fact,-2.392392635345459,2
cross-encoder/ms-marco-MiniLM-L-12-v2,hard,h004,direct_fact,-0.6862252354621887,1
cross-encoder/ms-marco-MiniLM-L-12-v2,hard,h005,direct_fact,-3.5874204635620117,1
cross-encoder/ms-marco-MiniLM-L-12-v2,hard,h006,enumeration,-2.1637744903564453,8
cross-encoder/ms-marco-MiniLM-L-12-v2,hard,h007,reasoning,-1.4985051155090332,1
cross-encoder/ms-marco-MiniLM-L-12-v2,hard,h008,direct_fact,-6.23569393157959,
cross-encoder/ms-marco-MiniLM-L-12-v2,hard,h009,direct_fact,-5.330951690673828,
cross-encoder/ms-marco-MiniLM-L-12-v2,hard,h010,direct_fact,2.16988468170166,2
cross-encoder/ms-marco-MiniLM-L-12-v2,hard,h011,multi_hop,-2.3516294956207275,2
cross-encoder/ms-marco-MiniLM-L-12-v2,hard,h012,multi_hop,-5.298546314239502,
cross-encoder/ms-marco-MiniLM-L-12-v2,hard,h013,multi_hop,-1.9767121076583862,1
cross-encoder/ms-marco-MiniLM-L-12-v2,hard,h014,multi_hop,-1.9835684299468994,1
