n,id,category,best,kw_rank
6,q001,direct_fact,3.6253256797790527,1
6,q002,enumeration,9.270694732666016,1
6,q003,direct_fact,2.062049150466919,1
6,q004,reasoning,6.137463569641113,1
6,q005,direct_fact,4.806209564208984,1
6,q006,enumeration,4.633072853088379,4
6,q007,direct_fact,2.141003131866455,1
6,q008,enumeration,5.437556266784668,2
6,q009,reasoning,5.060925006866455,1
6,q010,direct_fact,5.7035088539123535,1
6,q011,enumeration,5.425702095031738,3
6,q012,direct_fact,4.6085309982299805,1
6,q013,enumeration,6.718210220336914,1
6,q014,reasoning,0.678048849105835,1
6,q015,direct_fact,6.777395248413086,1
6,q016,reasoning,6.873054504394531,2
6,q017,direct_fact,5.9995622634887695,1
6,q018,reasoning,8.10957145690918,1
6,q019,out_of_corpus,-4.441519260406494,
6,q020,out_of_corpus,-6.177214622497559,
6,q021,enumeration,5.633782386779785,1
6,q022,enumeration,7.095032691955566,1
6,q023,enumeration,6.304117202758789,1
6,q024,enumeration,5.446718215942383,1
6,q025,direct_fact,0.35489457845687866,1
6,q026,reasoning,7.694472789764404,1
6,q027,enumeration,-2.07818603515625,3
6,q028,direct_fact,0.3810821771621704,6
6,q029,reasoning,4.133574962615967,4
6,q030,reasoning,4.913326740264893,1
6,q031,direct_fact,6.0952839851379395,1
6,q032,enumeration,3.0163166522979736,3
6,q033,direct_fact,6.963826656341553,1
6,q034,enumeration,4.535475730895996,1
6,q035,reasoning,6.961411476135254,1
6,q036,direct_fact,4.930408954620361,1
6,q037,direct_fact,8.880436897277832,1
6,q038,reasoning,6.87338924407959,1
6,q039,reasoning,2.8114073276519775,1
6,q040,enumeration,4.143370151519775,1
6,q041,enumeration,6.084099292755127,2
6,q042,reasoning,7.61417293548584,1
6,q043,direct_fact,5.485403537750244,1
6,q044,multi_hop,4.094095706939697,
6,q045,multi_hop,2.122718334197998,
6,q046,multi_hop,2.3360743522644043,1
6,q047,multi_hop,1.6783485412597656,1
6,q048,out_of_corpus,-5.209189414978027,
6,q049,out_of_corpus,-11.102185249328613,
6,q050,out_of_corpus,-6.406406879425049,
6,q051,multi_hop,1.4045084714889526,1
6,q052,multi_hop,1.0918599367141724,3
6,q053,multi_hop,2.900394916534424,1
6,q054,multi_hop,0.8065294027328491,
6,q055,multi_hop,4.476962566375732,1
6,q056,multi_hop,4.002211570739746,1
6,q057,multi_hop,-0.9661397337913513,1
6,q059,multi_hop,1.3223516941070557,1
6,q060,multi_hop,3.367859363555908,1
6,q061,multi_hop,2.292759418487549,4
6,q062,multi_hop,2.222362756729126,2
8,q001,direct_fact,3.62532639503479,1
8,q002,enumeration,9.270694732666016,1
8,q003,direct_fact,2.06204891204834,1
8,q004,reasoning,6.137462615966797,1
8,q005,direct_fact,4.806209564208984,1
8,q006,enumeration,4.633072853088379,6
8,q007,direct_fact,2.141003131866455,1
8,q008,enumeration,5.437556743621826,2
8,q009,reasoning,5.060925483703613,1
8,q010,direct_fact,5.703508377075195,1
8,q011,enumeration,5.425702095031738,3
8,q012,direct_fact,4.6085309982299805,1
8,q013,enumeration,6.718211650848389,1
8,q014,reasoning,0.6780494451522827,1
8,q015,direct_fact,6.777393341064453,1
8,q016,reasoning,6.873054504394531,2
8,q017,direct_fact,5.9995622634887695,1
8,q018,reasoning,8.10957145690918,1
8,q019,out_of_corpus,-4.441519260406494,
8,q020,out_of_corpus,-5.4598565101623535,
8,q021,enumeration,5.633781433105469,1
8,q022,enumeration,7.095032691955566,1
8,q023,enumeration,6.304117202758789,1
8,q024,enumeration,5.446718215942383,1
8,q025,direct_fact,0.35489529371261597,1
8,q026,reasoning,7.6944732666015625,1
8,q027,enumeration,-2.07818603515625,3
8,q028,direct_fact,0.3810821771621704,7
8,q029,reasoning,4.133574962615967,4
8,q030,reasoning,4.913325309753418,1
8,q031,direct_fact,6.095284461975098,1
