id,set,has_history,question,regex,agent,clarify
q001,golden_set_50,False,What is the definition of cloud computing given in the paper?,False,True,Which paper are you referring to?
q002,golden_set_50,False,What are the three new aspects of cloud computing from a hardware provisioning point of view?,False,False,
q003,golden_set_50,False,What is the data transfer bottleneck obstacle and a suggested workaround?,False,False,
q004,golden_set_50,False,Why can cloud computing datacenters achieve economies of scale?,False,False,
q005,golden_set_50,False,What are the obstacles related to data confidentiality and auditability?,False,False,
q006,golden_set_50,False,What new application opportunities does cloud computing enable according to the 2009 paper?,False,True,Which 2009 paper are you referring to?
q007,golden_set_50,False,What is the difference between BaaS and FaaS?,False,False,
q008,golden_set_50,False,What are the main limitations of current serverless platforms discussed in the paper?,False,True,Which paper are you referring to?
q009,golden_set_50,False,How does serverless billing differ from traditional serverful cloud billing?,False,False,
q010,golden_set_50,False,When did serverless computing attract widespread attention and with which service?,False,False,
q011,golden_set_50,False,Which applications stretch the limits of today's serverless platforms according to the paper?,False,True,Which paper are you referring to?
q012,golden_set_50,False,Τι είναι το utility computing;,False,False,
q013,golden_set_50,False,Ποια είναι τα 10 κύρια εμπόδια του cloud computing που αναφέρει το paper;,False,True,Ποιο paper αναφέρεστε;
q014,golden_set_50,False,Πώς βοηθά η ελαστικότητα στη μεταφορά του ρίσκου πρόβλεψης ζήτησης;,False,False,
q015,golden_set_50,False,Τι είναι το cold start στο serverless computing;,False,False,
q016,golden_set_50,False,Γιατί το serverless απλοποιεί τον προγραμματισμό στο cloud;,False,False,
q017,golden_set_50,False,Τι αναφέρει το paper για το reputation fate sharing;,False,True,Which paper are you referring to?
q018,golden_set_50,False,Τι προβλέπει το paper για το μέλλον του serverless computing;,False,True,Which paper are you referring to?
q019,golden_set_50,False,What do the documents say about quantum computing performance?,False,False,
q020,golden_set_50,False,Ποια είναι η τιμή του Bitcoin σύμφωνα με τα έγγραφα;,False,False,
q021,golden_set_50,False,Which specific AWS and Google Cloud services does the paper give as examples of serverless offerings?,False,False,
q022,golden_set_50,False,Which five applications does the paper analyze in depth as stretching today's serverless computing?,False,True,Which paper are you referring to?
q023,golden_set_50,False,Ποια είναι τα κύρια αρχιτεκτονικά στοιχεία της πλατφόρμας IBM OpenWhisk;,False,False,
q024,golden_set_50,False,What scientific applications has PyWren been used for according to the paper?,False,True,Which paper are you referring to?
q025,golden_set_50,False,Ποιες τιμές ηλεκτρικού ρεύματος ανά κιλοβατώρα αναφέρει το paper και για ποιον λόγο διαφέρουν;,False,False,
q026,golden_set_50,False,Why is object storage such as S3 inadequate for fine-grained state sharing between serverless functions?,False,False,
q027,golden_set_50,False,"Which storage categories does the paper compare in its storage table, and what mean latency does each have?",False,True,Which paper are you referring to?
q028,golden_set_50,False,Which specific vpxenc command-line flags does the ExCamera appendix list for its encoding runs?,False,False,
q029,golden_set_50,False,Πώς εγγυάται το MapReduce το ίδιο αποτέλεσμα παρά τις αστοχίες μηχανημάτων;,False,False,
q030,golden_set_50,False,Γιατί το paper υποστηρίζει ότι η φράση pay as you go αποδίδει καλύτερα το οικονομικό όφελος από το CapEx to OpEx;,False,True,Ποιο paper εννοείτε;
q031,golden_set_50,False,What does the paper say about the two major contributions of ExCamera?,False,True,Which paper are you referring to?
q032,golden_set_50,False,What opportunities does the paper pair with the obstacles of scaling quickly and software licensing?,False,True,Which paper are you referring to?
