id,set,category,question,tr_hard,tr_deriv,tr_none,best_hard,best_deriv,best_none
q012,golden_set_50.jsonl,direct_fact,Τι είναι το utility computing;,What is utility computing,What is utility computing?,utility computing definition,4.608530521392822,3.7778282165527344,3.6103243827819824
q013,golden_set_50.jsonl,enumeration,Ποια είναι τα 10 κύρια εμπόδια του cloud computing που αναφέρει το paper;,Top 10 cloud computing challenges mentioned in the paper,Top 10 cloud computing challenges mentioned in the paper,Top 10 cloud computing obstacles paper,6.718211650848389,6.718211650848389,7.851203918457031
q014,golden_set_50.jsonl,reasoning,Πώς βοηθά η ελαστικότητα στη μεταφορά του ρίσκου πρόβλεψης ζήτησης;,Elasticity demand forecasting risk transfer,How does elasticity help in demand forecasting risk transfer?,Elasticity demand forecasting risk transfer,0.6780500411987305,0.5646831393241882,0.6780500411987305
q015,golden_set_50.jsonl,direct_fact,Τι είναι το cold start στο serverless computing;,cold start serverless computing,cold start serverless computing,cold start serverless computing,6.777395248413086,6.777395248413086,6.777395248413086
q016,golden_set_50.jsonl,reasoning,Γιατί το serverless απλοποιεί τον προγραμματισμό στο cloud;,Why serverless simplifies programming in the cloud?,Why serverless simplifies programming in the cloud?,Why serverless simplifies cloud programming,6.343441009521484,6.343441009521484,7.3338236808776855
q017,golden_set_50.jsonl,direct_fact,Τι αναφέρει το paper για το reputation fate sharing;,reputation fate sharing,reputation fate sharing,reputation fate sharing paper,5.9995622634887695,5.9995622634887695,3.314638137817383
q018,golden_set_50.jsonl,reasoning,Τι προβλέπει το paper για το μέλλον του serverless computing;,Future of serverless computing,Future of serverless computing,serverless computing future predictions paper,8.10957145690918,8.10957145690918,6.441998481750488
q020,golden_set_50.jsonl,out_of_corpus,Ποια είναι η τιμή του Bitcoin σύμφωνα με τα έγγραφα;,Bitcoin price,Bitcoin price,Bitcoin price documents,-5.4598565101623535,-5.4598565101623535,-7.978732109069824
q023,golden_set_50.jsonl,enumeration,Ποια είναι τα κύρια αρχιτεκτονικά στοιχεία της πλατφόρμας IBM OpenWhisk;,IBM OpenWhisk architectural components,IBM OpenWhisk architectural components,IBM OpenWhisk architectural elements,6.304117202758789,6.304117202758789,4.8188371658325195
q025,golden_set_50.jsonl,direct_fact,Ποιες τιμές ηλεκτρικού ρεύματος ανά κιλοβατώρα αναφέρει το paper και για ποιον λόγο διαφέρουν;,electricity prices per kilowatt-hour and reasons for variation,electricity pricing per kilowatt-hour differences,electricity prices per kWh paper differences,0.35489529371261597,1.4660165309906006,-1.0051052570343018
q029,golden_set_50.jsonl,reasoning,Πώς εγγυάται το MapReduce το ίδιο αποτέλεσμα παρά τις αστοχίες μηχανημάτων;,MapReduce fault tolerance consistency guarantees,MapReduce fault tolerance mechanisms,MapReduce fault tolerance guarantees,4.133574485778809,5.590247631072998,5.19285774230957
q030,golden_set_50.jsonl,reasoning,Γιατί το paper υποστηρίζει ότι η φράση pay as you go αποδίδει καλύτερα το οικονομικό όφελος από το CapEx to OpEx;,Why does the paper argue that the phrase pay as you go better represents the financial benefit from CapEx to OpEx?,Why does the paper argue that pay as you go better represents the economic benefit than CapEx to OpEx?,Paper pay as you go CapEx to OpEx financial benefit,5.582755088806152,5.503633499145508,4.353363990783691
q033,golden_set_50.jsonl,direct_fact,Ποιο παράδειγμα κόστους αδειοδότησης λογισμικού δίνει το paper και πώς συγκρίνεται η τιμή του Windows στο EC2 με την έκδοση ανοιχτού κώδικα;,Software licensing cost example Windows EC2 open-source comparison,Software licensing cost example and Windows on EC2 pricing compared to open source platforms,Software licensing cost example Windows EC2 open source comparison,7.047860145568848,6.907847881317139,7.141324043273926
q035,golden_set_50.jsonl,reasoning,Πώς απαντά το paper στον ισχυρισμό ότι οι cloud functions δεν μπορούν να εξυπηρετήσουν εφαρμογές χαμηλής καθυστέρησης;,cloud functions low-latency applications,How does the paper address the claim that serverless functions cannot serve low-latency applications?,paper cloud functions low-latency applications,6.9614105224609375,2.8895978927612305,4.384336471557617
q037,golden_set_50.jsonl,direct_fact,Τι αναφέρει το κείμενο για την επέκταση του serverless πέρα από τα παραδοσιακά cloud platforms;,Serverless beyond traditional cloud platforms,serverless beyond traditional cloud platforms,serverless beyond traditional cloud platforms,8.880435943603516,8.880435943603516,8.880435943603516
q041,golden_set_50.jsonl,enumeration,Πώς λειτουργεί ο μηχανισμός των counters στο MapReduce;,MapReduce counters mechanism operation,MapReduce counters mechanism operation,MapReduce counters mechanism how it works,6.084099769592285,6.084099769592285,6.189371109008789
q042,golden_set_50.jsonl,reasoning,Πόσο επηρεάζουν οι backup tasks και οι αστοχίες μηχανημάτων τον χρόνο εκτέλεσης του sort;,Impact of backup tasks and machine failures on sort execution time,Impact of backup tasks and machine failures on sort execution time,Backup tasks machine failures sort performance,7.61417293548584,7.61417293548584,6.405376434326172
q045,golden_set_50.jsonl,multi_hop,Πώς περιγράφουν το πρόβλημα της αποθήκευσης στο serverless το Berkeley view και η κριτική του CIDR;,Berkeley view serverless storage problem CIDR criticism,Berkeley view and CIDR criticism describe serverless storage problem,Berkeley CIDR serverless storage problem,2.1227176189422607,2.261335611343384,2.2591941356658936
q047,golden_set_50.jsonl,multi_hop,Ποια στοιχεία προσθέτει η αρχιτεκτονική του OpenWhisk σε σχέση με το γενικό serverless επίπεδο που περιγράφει το Berkeley view;,OpenWhisk architecture elements compared to Berkeley view serverless layer,OpenWhisk architecture additions compared to Berkeley view of serverless model,OpenWhisk architecture Berkeley serverless comparison,1.6783485412597656,1.2285680770874023,2.904223918914795
q049,golden_set_50.jsonl,out_of_corpus,Ποια αποτελέσματα κλινικών δοκιμών αναφέρονται στα έγγραφα;,Clinical trial results mentioned in papers,clinical trial results,clinical trial results documents,-10.252869606018066,-9.403556823730469,-10.416953086853027
q054,golden_multihop_new.jsonl,multi_hop,Το 'Above the Clouds' (2009) θεμελιώνει την ελαστικότητα του νέφους στο statistical multiplexing και στο cost associativity. Πώς αξιοποιεί την ίδια αρχή το serverless Berkeley view (2019) για την εφήμερη αποθήκευση;,Above the Clouds 2009 cloud elasticity statistical multiplexing cost associativity serverless Berkeley view 2019 ephemeral storage,Above the Clouds (2009) cloud elasticity statistical multiplexing cost associativity serverless Berkeley view (2019) ephemeral storage,Above the Clouds 2009 cloud elasticity statistical multiplexing cost associativity serverless Berkeley view 2019 ephemeral storage,1.0461982488632202,0.8065298795700073,1.0461982488632202
q059,golden_multihop_new.jsonl,multi_hop,Το Berkeley view (2019) ορίζει serverless = FaaS + BaaS. Τι προειδοποιεί ο Baldini et al. για την εξάρτηση από το ecosystem των BaaS υπηρεσιών ενός παρόχου;,Berkeley view (2019) defines serverless = FaaS + BaaS. What does Baldini et al. warn about vendor ecosystem lock-in for BaaS services?,Berkeley view (2019) defines serverless = FaaS + BaaS. What does Baldini et al. warn about vendor lock-in for BaaS services?,Baldini et al. BaaS vendor lock-in warning,0.7066799402236938,1.1220054626464844,-1.0954837799072266
