id,shape,doc,coverage,values_ok,values_total,verdict,missing,answer
t001,two_column,1902.03383v1.pdf,100.0,2,2,ΣΩΣΤΗ,,"The maximum run time for an AWS serverless cloud function is 900 seconds, and its maximum local storage is 0.5 GiB. These specifications correspond to AWS Lambda, as detailed in Table 2 of the provided text."
t002,two_column,1902.03383v1.pdf,100.0,2,2,ΣΩΣΤΗ,,"The minimum accounting unit for serverless cloud functions is 0.1 seconds, whereas for serverful cloud VMs, it is 60 seconds. This distinction means serverless computing is accounted for at much finer boundaries."
t003,percentages,1902.03383v1.pdf,100.0,2,2,ΣΩΣΤΗ,,"According to a 2018 survey on serverless computing use cases, web and API serving accounts for 32% of usage, while data processing, such as batch ETL (Extract, Transform, and Load), accounts for 21%."
t004,rows_with_mapping,1902.03383v1.pdf,100.0,3,3,ΣΩΣΤΗ,,"The serverless services listed with their programming interfaces are:  *   **Cloud Functions:** Arbitrary code *   **BigQuery/Athena:** SQL-like query *   **DynamoDB:** puts() and gets() *   **SQS:** enqueue/dequeue events  The cost model for BigQuery and Athena is based on the amount of data scanned by the query. Additionally, for these serverless compute offerings, the user pays separately for storage."
t005,label_value,mapreduce-osdi04.pdf,100.0,2,2,ΣΩΣΤΗ,,"In August 2004, a total of 29,423 MapReduce jobs were run. The average completion time for these jobs was 634 seconds."
t006,label_value,mapreduce-osdi04.pdf,100.0,3,3,ΣΩΣΤΗ,,"In August 2004, MapReduce jobs processed 3,288 TB of input data, produced 758 TB of intermediate data, and wrote 193 TB of output data. These statistics are derived from a subset of MapReduce jobs run at Google during that month."
t007,label_value,mapreduce-osdi04.pdf,100.0,2,2,ΣΩΣΤΗ,,"In August 2004, the average number of worker machines per MapReduce job was 157, and the average number of worker deaths per job was 1.2. These statistics are derived from a subset of MapReduce jobs run at Google during that month, as detailed in Table 1 of the provided source."
t008,two_header_rows,1812.03651.pdf,100.0,2,2,ΣΩΣΤΗ,,"The latency of invoking a no-op Lambda function on a 1KB argument is 303ms. This measurement models pure functional event-driven communication and is averaged over 1,000 calls. Compared to a direct network message roundtrip of 1KB, measured using Python and the ZeroMQ message library across two EC2 instances, the no-op Lambda function invocation is 1,045 times slower. Communicating via cloud storage, which is the mechanism for Lambda functions to pass data, is generally not a reasonable replacement for directly-addressed networking due to its significantly higher latency."
t009,label_value,1702.04024.pdf,100.0,2,2,ΣΩΣΤΗ,,"Based on the provided source text, S3 reaches a write speed of 501.13 MB/s, while a single SSD on a c3.8xlarge instance reaches a write speed of 208.73 MB/s. These figures are presented in Table 1, which compares single-machine write bandwidth to instance local SSD and remote storage in Amazon EC2."
t010,mean_std,1702.04024.pdf,100.0,2,2,ΣΩΣΤΗ,,"In the featurization and classification experiment, the lambda start latency has a mean of 9.7 seconds and a standard deviation of 29.1 seconds."
