id,set,category,a_pages,b_slots,b_unique_pages,lost_pages,a_cov,b_cov,a_chars,b_chars
q001,golden_set_50.jsonl,direct_fact,8,8,4,4,100.0,100.0,44769,39540
q002,golden_set_50.jsonl,enumeration,8,8,4,4,100.0,100.0,41523,45030
q003,golden_set_50.jsonl,direct_fact,8,8,4,4,100.0,100.0,42820,49544
q004,golden_set_50.jsonl,reasoning,8,8,4,4,100.0,100.0,40807,41980
q005,golden_set_50.jsonl,direct_fact,8,6,3,5,100.0,100.0,49079,33532
q006,golden_set_50.jsonl,enumeration,8,8,4,4,100.0,100.0,39742,43062
q007,golden_set_50.jsonl,direct_fact,8,8,4,4,100.0,100.0,46398,40400
q008,golden_set_50.jsonl,enumeration,8,8,4,4,100.0,66.66666666666667,41012,40300
q009,golden_set_50.jsonl,reasoning,8,8,4,4,100.0,100.0,32189,32696
q010,golden_set_50.jsonl,direct_fact,8,8,4,4,100.0,100.0,34064,37808
q011,golden_set_50.jsonl,enumeration,8,8,4,4,100.0,100.0,35821,32220
q012,golden_set_50.jsonl,direct_fact,8,8,4,4,100.0,100.0,46213,46454
q013,golden_set_50.jsonl,enumeration,8,8,4,4,100.0,100.0,37084,39862
q014,golden_set_50.jsonl,reasoning,8,6,3,5,100.0,100.0,43364,31994
q015,golden_set_50.jsonl,direct_fact,8,8,4,4,100.0,100.0,28724,24158
q016,golden_set_50.jsonl,reasoning,8,8,4,4,100.0,100.0,34276,27744
q017,golden_set_50.jsonl,direct_fact,8,8,4,4,100.0,100.0,36931,39494
q018,golden_set_50.jsonl,reasoning,8,8,4,4,100.0,100.0,38016,36104
q019,golden_set_50.jsonl,out_of_corpus,8,8,4,4,0.0,0.0,41546,34892
q020,golden_set_50.jsonl,out_of_corpus,8,8,4,4,0.0,0.0,41301,38698
q021,golden_set_50.jsonl,enumeration,7,8,4,3,100.0,100.0,33182,38378
q022,golden_set_50.jsonl,enumeration,8,8,4,4,100.0,100.0,33473,30826
q023,golden_set_50.jsonl,enumeration,8,8,4,4,100.0,100.0,35523,29686
q024,golden_set_50.jsonl,enumeration,7,8,4,3,100.0,100.0,42024,49910
q025,golden_set_50.jsonl,direct_fact,8,8,4,4,100.0,100.0,43993,44262
q026,golden_set_50.jsonl,reasoning,8,8,4,4,100.0,100.0,36201,41102
q027,golden_set_50.jsonl,enumeration,8,8,4,4,100.0,100.0,49798,55194
q028,golden_set_50.jsonl,direct_fact,8,6,3,5,100.0,0.0,38087,33786
q029,golden_set_50.jsonl,reasoning,8,8,4,4,100.0,0.0,45018,43688
q030,golden_set_50.jsonl,reasoning,8,8,4,4,100.0,100.0,48497,52412
q031,golden_set_50.jsonl,direct_fact,8,8,4,4,100.0,100.0,42846,45490
q032,golden_set_50.jsonl,enumeration,8,8,4,4,100.0,100.0,50156,45184
q033,golden_set_50.jsonl,direct_fact,8,8,4,4,100.0,100.0,47806,48238
q034,golden_set_50.jsonl,enumeration,8,8,4,4,100.0,100.0,40144,29728
q035,golden_set_50.jsonl,reasoning,8,8,4,4,100.0,100.0,35051,34232
q036,golden_set_50.jsonl,direct_fact,8,8,4,4,100.0,100.0,32376,18926
q037,golden_set_50.jsonl,direct_fact,8,8,4,4,100.0,100.0,31093,37614
q038,golden_set_50.jsonl,reasoning,7,8,4,3,100.0,100.0,55194,62728
q039,golden_set_50.jsonl,reasoning,8,6,3,5,100.0,100.0,55178,47512
q040,golden_set_50.jsonl,enumeration,8,8,4,4,100.0,100.0,43901,43088
q041,golden_set_50.jsonl,enumeration,8,8,4,4,100.0,100.0,44072,43584
q042,golden_set_50.jsonl,reasoning,7,8,4,3,100.0,100.0,37001,40588
q043,golden_set_50.jsonl,direct_fact,8,8,4,4,100.0,100.0,48812,45230
q044,golden_set_50.jsonl,multi_hop,8,8,4,4,66.66666666666667,66.66666666666667,34010,26738
q045,golden_set_50.jsonl,multi_hop,8,8,4,4,66.66666666666667,66.66666666666667,45062,44444
q046,golden_set_50.jsonl,multi_hop,8,8,4,4,100.0,100.0,45956,45464
q047,golden_set_50.jsonl,multi_hop,8,8,4,4,100.0,100.0,26273,23332
q048,golden_set_50.jsonl,out_of_corpus,8,8,4,4,0.0,0.0,43083,45426
q049,golden_set_50.jsonl,out_of_corpus,8,8,4,4,0.0,0.0,43933,41608
q050,golden_set_50.jsonl,out_of_corpus,8,8,4,4,0.0,0.0,41774,35464
h001,golden_hard_paraphrase.jsonl,enumeration,8,8,4,4,33.333333333333336,33.333333333333336,40985,34690
h002,golden_hard_paraphrase.jsonl,direct_fact,6,8,4,2,0.0,0.0,31763,45356
h003,golden_hard_paraphrase.jsonl,direct_fact,8,8,4,4,100.0,100.0,48496,48210
