id,arm,lang,category,chars,prompt_tokens,completion_tokens,sentences,n_cites,n_bad_format,n_fabricated,n_placeholder,cited_pages,pages_sent,ground_n,ground_skipped,ground_cited,ground_floor,refused,answer
q001,base,en,direct_fact,322,10147,59,2,0,0,0,0,0,8,0,0,nan,nan,0,"Cloud Computing is defined as encompassing both the applications delivered as services over the Internet and the hardware and systems software within the datacenters that provide these services. More specifically, it is the sum of Software as a Service (SaaS) and Utility Computing, but it does not include Private Clouds."
q001,cite,en,direct_fact,957,10247,313,5,10,0,0,0,2,8,10,0,0.8594155844155844,0.48381261595547304,0,"Cloud Computing is defined as encompassing both the applications delivered as services over the Internet and the hardware and systems software located in datacenters that provide these services [EECS-2009-28.pdf, p.3], [EECS-2009-28.pdf, p.6]. The applications themselves are often referred to as Software as a Service (SaaS), while the datacenter hardware and software are termed a Cloud [EECS-2009-28.pdf, p.3], [EECS-2009-28.pdf, p.6]. When a Cloud is offered to the general public on a pay-as-you-go basis, it is called a Public Cloud, and the service sold is Utility Computing [EECS-2009-28.pdf, p.3], [EECS-2009-28.pdf, p.6]. Internal datacenters of a business or organization not made available to the public are referred to as Private Clouds [EECS-2009-28.pdf, p.3], [EECS-2009-28.pdf, p.6]. Therefore, Cloud Computing is the sum of SaaS and Utility Computing, but it does not include Private Clouds [EECS-2009-28.pdf, p.3], [EECS-2009-28.pdf, p.6]."
q012,base,gr,direct_fact,380,10615,98,3,0,0,0,0,0,8,0,0,nan,nan,0,"Το Utility Computing είναι η υπηρεσία που πωλείται όταν ένα Cloud διατίθεται στο κοινό με τρόπο pay-as-you-go. Αποτελεί μέρος του Cloud Computing, το οποίο ορίζεται ως το άθροισμα του SaaS και του Utility Computing, αλλά δεν περιλαμβάνει συνήθως τα Private Clouds. Παραδείγματα δημόσιου Utility Computing περιλαμβάνουν τα Amazon Web Services, Google AppEngine και Microsoft Azure."
q012,cite,gr,direct_fact,481,10715,158,3,3,0,0,0,2,8,3,0,1.0,0.8214285714285715,0,"Το Utility Computing είναι η υπηρεσία που πωλείται όταν ένα Cloud διατίθεται στο ευρύ κοινό με τρόπο pay-as-you-go [EECS-2009-28.pdf, p.3]. Αποτελεί μέρος του Cloud Computing, το οποίο ορίζεται ως το άθροισμα του Software as a Service (SaaS) και του Utility Computing, αλλά συνήθως δεν περιλαμβάνει τα Private Clouds [EECS-2009-28.pdf, p.3]. Παραδείγματα δημόσιου Utility Computing περιλαμβάνουν τα Amazon Web Services, Google AppEngine και Microsoft Azure [EECS-2009-28.pdf, p.6]."
q002,base,en,enumeration,780,9243,159,7,0,0,0,0,0,8,0,0,nan,nan,0,"From a hardware provisioning perspective, three new aspects characterize Cloud Computing:

1.  **Illusion of Infinite Resources:** Cloud Computing provides the illusion of infinite computing resources available on demand, which removes the necessity for users to plan far in advance for provisioning.
2.  **Elimination of Up-Front Commitment:** Cloud users are no longer required to make an up-front commitment, enabling companies to commence operations on a small scale and expand hardware resources only as their needs grow.
3.  **Pay-as-you-go Model:** Users gain the ability to pay for computing resources on a short-term, as-needed basis (e.g., processors by the hour, storage by the day) and release them when no longer required, thereby incentivizing resource conservation."
q002,cite,en,enumeration,830,9343,238,7,6,0,0,0,2,8,6,0,0.7380952380952381,0.4826152683295541,0,"From a hardware provisioning perspective, three new aspects characterize Cloud Computing:

1.  Cloud Computing provides the illusion of infinite computing resources available on demand, which removes the necessity for users to plan far in advance for provisioning [EECS-2009-28.pdf, p.3], [EECS-2009-28.pdf, p.6].
2.  It eliminates the need for an up-front commitment from Cloud users, enabling companies to commence operations on a small scale and expand hardware resources only as their needs grow [EECS-2009-28.pdf, p.3], [EECS-2009-28.pdf, p.6].
3.  Users gain the ability to pay for computing resources on a short-term, as-needed basis (e.g., processors by the hour and storage by the day) and release them when no longer required, thereby incentivizing resource conservation [EECS-2009-28.pdf, p.3], [EECS-2009-28.pdf, p.6]."
q013,base,gr,enumeration,1351,8295,429,21,0,0,0,0,0,8,0,0,nan,nan,0,"Σύμφωνα με το παρεχόμενο κείμενο, τα 10 κύρια εμπόδια στην ανάπτυξη του Cloud Computing είναι τα εξής:

1.  **Availability of Service**: Οι οργανισμοί ανησυχούν για το αν οι υπηρεσίες Utility Computing θα έχουν επαρκή διαθεσιμότητα, γεγονός που τους καθιστά επιφυλακτικούς απέναντι στο Cloud Computing.
2.  **Data Lock-In**: Αναφέρεται στην δυσκολία μεταφοράς δεδομένων και εφαρμογών μεταξύ διαφορετικών παρόχων cloud.
3.  **Data Confidentiality and Auditability**: Αφορά τις ανησυχίες σχετικά με την εμπιστευτικότητα των δεδομένων και την δυνατότητα ελέγχου τους.
4.  **Data Transfer Bottlenecks**: Περιορισμοί στην ταχύτητα μεταφοράς δεδομένων.
5.  **Performance Unpredictability**: Η απρόβλεπτη απόδοση των συστημάτων cloud.
6.  **Scalable Storage**: Η πρόκληση της δημιουργίας επεκτάσιμων συστημάτων αποθήκευσης που να ανταποκρίνονται στις απαιτήσεις του cloud.
7.  **Bugs in Large-Scale Distributed Systems**: Η δυσκολία εντοπισμού και διόρθωσης σφαλμάτων σε μεγάλης κλίμακας κατανεμημένα συστήματα.
8.  **Scaling Quickly**: Η ανάγκη για γρήγορη αυτόματη κλιμάκωση (scaling) των πόρων προς τα πάνω και προς τα κάτω.
9.  **Reputation Fate Sharing**: Η πιθανότητα η κακή συμπεριφορά ενός πελάτη να επηρεάσει τη φήμη του cloud στο σύνολό του.
10. **Software Licensing**: Θέματα που σχετίζονται με την αδειοδότηση λογισμικού στο περιβάλλον του cloud."
q013,cite,gr,enumeration,3088,8395,1208,23,16,0,1,0,3,8,14,1,0.9714285714285715,0.5746598639455781,0,"Τα 10 κύρια εμπόδια στην ανάπτυξη του Cloud Computing, όπως αναφέρονται στο paper, είναι τα εξής:

1.  **Availability of Service (Διαθεσιμότητα Υπηρεσίας)**: Οι οργανισμοί ανησυχούν για το αν οι υπηρεσίες Utility Computing θα έχουν επαρκή διαθεσιμότητα, γεγονός που τους καθιστά επιφυλακτικούς απέναντι στο Cloud Computing [EECS-2009-28.pdf, p.16]. Οι χρήστες αναμένουν υψηλή διαθεσιμότητα από τις νέες υπηρεσίες, παρόμοια με τα υπάρχοντα προϊόντα SaaS, κάτι που είναι δύσκολο να επιτευχθεί [EECS-2009-28.pdf, p.16]. Ένα άλλο εμπόδιο διαθεσιμότητας είναι οι επιθέσεις Distributed Denial of Service (DDoS) [EECS-2009-28.pdf, p.16].
2.  **Data Lock-In (Εγκλωβισμός Δεδομένων)**: Αυτό το εμπόδιο αφορά την δυσκολία μεταφοράς δεδομένων και εφαρμογών μεταξύ διαφορετικών παρόχων cloud ή από το cloud σε ιδιωτικές υποδομές [EECS-2009-28.pdf, p.5], [EECS-2009-28.pdf, p.16].
3.  **Data Confidentiality and Auditability (Εμπιστευτικότητα και Ελεγξιμότητα Δεδομένων)**: Οι ανησυχίες επικεντρώνονται στην ασφάλεια και την ιδιωτικότητα των δεδομένων που αποθηκεύονται στο cloud, καθώς και στην ικανότητα ελέγχου της πρόσβασης και της χρήσης τους [EECS-2009-28.pdf, p.5], [EECS-2009-28.pdf, p.16].
4.  **Data Transfer Bottlenecks (Σημεία Συμφόρησης Μεταφοράς Δεδομένων)**: Αναφέρεται στις προκλήσεις που σχετίζονται με την ταχύτητα και το κόστος μεταφοράς μεγάλων όγκων δεδομένων προς και από το cloud [EECS-2009-28.pdf, p.5], [EECS-2009-28.pdf, p.16].
5.  **Performance Unpredictability (Απροβλεψιμότητα Απόδοσης)**: Αυτό το εμπόδιο προκύπτει από την αδυναμία πρόβλεψης της απόδοσης των εφαρμογών σε ένα κοινόχρηστο περιβάλλον cloud, όπου οι πόροι μοιράζονται μεταξύ πολλών χρηστών [EECS-2009-28.pdf, p.16].
6.  **Scalable Storage (Επεκτάσιμη Αποθήκευση)**: Ενώ η επεκτασιμότητα της υπολογιστικής ισχύος είναι σαφής, είναι λιγότερο προφανές πώς εφαρμόζεται στην επίμονη αποθήκευση, η οποία πρέπει να συνδυάζει βραχυπρόθεσμη χρήση, μηδενικό αρχικό κόστος και άπειρη χωρητικότητα κατ' απαίτηση [EECS-2009-28.pdf, p.20].
7.  **Bugs in Large-Scale Distributed Systems (Σφάλματα σε Κατανεμημένα Συστήματα Μεγάλης Κλίμακας)**: Η αφαίρεση σφαλμάτων σε αυτά τα πολύ μεγάλα κατανεμημένα συστήματα είναι μια δύσκολη πρόκληση, καθώς συχνά δεν μπορούν να αναπαραχθούν σε μικρότερες διαμορφώσεις, απαιτώντας εντοπισμό σφαλμάτων σε κλίμακα στα κέντρα δεδομένων παραγωγής [EECS-2009-28.pdf, p.20].
8.  **Scaling Quickly (Γρήγορη Κλιμάκωση)**: Η πρόκληση είναι η αυτόματη γρήγορη κλιμάκωση προς τα πάνω και προς τα κάτω ως απόκριση στο φορτίο για εξοικονόμηση χρημάτων, χωρίς παραβίαση των συμφωνιών επιπέδου υπηρεσίας [EECS-2009-28.pdf, p.20].
9.  **Reputation Fate Sharing (Κοινή Μοίρα Φήμης)**: Η κακή συμπεριφορά ενός πελάτη μπορεί να επηρεάσει τη φήμη του cloud στο σύνολό του, όπως η μαύρη λίστα διευθύνσεων IP από υπηρεσίες πρόληψης spam [EECS-2009-28.pdf, p.18].
10. **Software Licensing (Αδειοδότηση Λογισμικού)**: Οι παραδοσιακές άδειες λογισμικού δεν ταιριάζουν πάντα με το μοντέλο pay-as-you-go του cloud computing, δημιουργώντας εμπόδια στην υιοθέτηση [EECS-2009-28.pdf, p.5], [EECS-2009-28.pdf, p.16]."
q044,base,en,multi_hop,561,8459,135,4,0,2,0,0,0,8,0,0,nan,nan,0,"The ExCamera paper reports that ExCamera achieves significantly faster encoding times compared to existing systems. For a 15-minute animated movie in 4K resolution, ExCamera encoded the video in 0.5 minutes (using the [6,1] configuration), while the vpxenc multi-threaded encoder took 149 minutes. Similarly, for a 12-minute live-action 4K video, ExCamera completed encoding in 0.5 minutes (using the [6,1] configuration), whereas vpxenc multi-threaded required 131 minutes. These results indicate ExCamera is many times faster than existing encoding solutions."
q044,cite,en,multi_hop,813,8559,261,4,4,0,0,0,2,8,4,0,0.7492694805194805,0.28681586270871984,0,"The ExCamera paper reports significant speedups compared to existing video encoding systems [excamera-nsdi17.pdf, p.3]. For a 15-minute animated movie in 4K resolution encoded into VP8, ExCamera achieved an encode time of 0.5 minutes, which is 298 times faster than the vpxenc multi-threaded encoder (149 minutes) and 906 times faster than the vpxenc single-threaded encoder (453 minutes) [excamera-nsdi17.pdf, p.3]. Similarly, for a 12-minute live-action 4K video, ExCamera completed encoding in 0.5 minutes, which is 262 times faster than vpxenc multi-threaded (131 minutes) and 1002 times faster than vpxenc single-threaded (501 minutes) [excamera-nsdi17.pdf, p.3]. The Berkeley View paper also notes that ExCamera is 60x faster than Google's multithreaded vpxenc encoder on 128 cores [1902.03383v1.pdf, p.29]."
