id,set,category,chunk,before,after,delta,pass_before,pass_after,dual
q019,golden_set_50,out_of_corpus,mapreduce-osdi04.pdf_p7_c1_e6f97228,-4.442,-5.477,-1.035,False,False,-4.442
q020,golden_set_50,out_of_corpus,excamera-nsdi17.pdf_p10_c0_8eb1e0cc,-5.46,-6.365,-0.906,False,False,-5.46
q048,golden_set_50,out_of_corpus,EECS-2009-28.pdf_p16_c3_d0a5c221,-3.12,-3.218,-0.098,False,False,-3.12
q049,golden_set_50,out_of_corpus,1812.03651.pdf_p7_c1_9b59f0e6,-9.404,-8.868,0.535,False,False,-8.868
q050,golden_set_50,out_of_corpus,1902.03383v1.pdf_p27_c0_008ffb33,-5.053,-2.331,2.723,False,True,-2.331
q001,golden_set_50,direct_fact,EECS-2009-28.pdf_p2_c1_aa4bd44c,3.625,5.268,1.642,True,True,5.268
q004,golden_set_50,reasoning,EECS-2009-28.pdf_p20_c3_f4cbe54f,6.137,4.325,-1.812,True,True,6.137
q007,golden_set_50,direct_fact,1812.03651.pdf_p2_c4_d4da1941,2.141,-0.178,-2.319,True,True,2.141
q010,golden_set_50,direct_fact,1902.03383v1.pdf_p3_c1_6b7ab9c4,5.704,4.423,-1.281,True,True,5.704
q013,golden_set_50,enumeration,EECS-2009-28.pdf_p15_c1_11d82593,6.718,6.338,-0.38,True,True,6.718
q016,golden_set_50,reasoning,1902.03383v1.pdf_p5_c1_a6079326,6.873,4.661,-2.212,True,True,6.873
q021,golden_set_50,enumeration,1902.03383v1.pdf_p5_c1_a6079326,5.634,6.485,0.851,True,True,6.485
q024,golden_set_50,enumeration,1702.04024.pdf_p4_c0_a7262d19,5.447,3.815,-1.632,True,True,5.447
q027,golden_set_50,enumeration,1812.03651.pdf_p4_c0_ec26d29f,-2.078,-2.0,0.078,True,True,-2.0
q030,golden_set_50,reasoning,EECS-2009-28.pdf_p11_c1_b8c12027,4.913,0.665,-4.248,True,True,4.913
q033,golden_set_50,direct_fact,EECS-2009-28.pdf_p20_c0_a4f6b3a1,6.964,5.631,-1.333,True,True,6.964
q036,golden_set_50,direct_fact,1706.03178.pdf_p11_c0_dbe6459d,4.93,6.025,1.095,True,True,6.025
h001,golden_hard_paraphrase,enumeration,1702.04024.pdf_p2_c2_b45f6189,-1.907,1.678,3.584,True,True,1.678
h002,golden_hard_paraphrase,direct_fact,excamera-nsdi17.pdf_p9_c2_8f6d1bf6,1.27,0.286,-0.984,True,True,1.27
h003,golden_hard_paraphrase,direct_fact,EECS-2009-28.pdf_p15_c1_11d82593,-2.392,-2.357,0.036,True,True,-2.357
h004,golden_hard_paraphrase,direct_fact,EECS-2009-28.pdf_p16_c4_ea2eb22d,-0.686,2.19,2.877,True,True,2.19
h005,golden_hard_paraphrase,direct_fact,1706.03178.pdf_p16_c0_1f2e9fc5,-3.587,-2.921,0.666,False,False,-2.921
h006,golden_hard_paraphrase,enumeration,1902.03383v1.pdf_p8_c2_d5e3e7d4,-2.164,-2.877,-0.713,True,False,-2.164
h007,golden_hard_paraphrase,reasoning,EECS-2009-28.pdf_p2_c2_2935521e,-1.499,-2.83,-1.331,True,False,-1.499
h008,golden_hard_paraphrase,direct_fact,EECS-2009-28.pdf_p21_c4_fcc777ff,-6.236,-7.223,-0.987,False,False,-6.236
h009,golden_hard_paraphrase,direct_fact,mapreduce-osdi04.pdf_p11_c2_d4a42723,-5.331,-2.343,2.988,False,True,-2.343
h010,golden_hard_paraphrase,direct_fact,1706.03178.pdf_p10_c1_0413420d,2.17,-2.665,-4.835,True,False,2.17
h011,golden_hard_paraphrase,multi_hop,EECS-2009-28.pdf_p17_c2_bee2276f,-2.352,-4.696,-2.345,True,False,-2.352
h012,golden_hard_paraphrase,multi_hop,1902.03383v1.pdf_p6_c3_f83bb447,-5.299,-5.049,0.25,False,False,-5.049
h013,golden_hard_paraphrase,multi_hop,1702.04024.pdf_p2_c3_51da6422,-1.977,-2.301,-0.324,True,True,-1.977
h014,golden_hard_paraphrase,multi_hop,mapreduce-osdi04.pdf_p9_c0_185bea9f,-1.984,-5.786,-3.802,True,False,-1.984
h015,golden_hard_paraphrase,multi_hop,mapreduce-osdi04.pdf_p9_c0_185bea9f,-4.992,-6.745,-1.753,False,False,-4.992
h016,golden_hard_paraphrase,multi_hop,1902.03383v1.pdf_p18_c2_06adac85,-9.368,-8.358,1.01,False,False,-8.358
